Chinese,English
高等教育学校,Higher Education Schools
普通本科院校,Academic HEIs
独立学院,Independent Institutions 
本科层次职业学校,Professional HEIs
高职（专科）院校,Vocational HEIs
成人高等学校,Adult HEIs
高中阶段学校,Senior Secondary Schools
普通高中,Regular Senior Secondary Schools
完全中学,Combined Secondary Schools
高级中学,Regular High Schools
十二年一贯制学校,12-Year Schools
中等职业教育,Secondary Vocational Education
中等职业学校,Secondary Vocational Schools
其他中职机构（不计校数）,Other Secondary Vocational Education Institutions
义务教育阶段学校,Compulsory Education Schools
初中学校,Junior Secondary Schools
初级中学,Regular Junior  Secondary  Schools
九年一贯制学校,9-Year Schools
职业初中,Vocational Junior Secondary Schools
普通小学,Regular Primary Schools
小学,Primary Schools
小学教学点（不计校数）,External Teaching Sites
特殊教育学校,Special Education Schools
幼儿园,Kindergarten
普惠性幼儿园,Inclusive Kindergartens
普惠性民办幼儿园,Inclusive Voluntary Kindergartens
专门学校,Specialized Schools
成人中小学,Adult Primary and Secondary Schools
入学人数,Entrants
在学人数,Enrolment
离学人数,Leavers
专任教师,Full-time Teachers
进城务工人员随迁子女,Migrant Workers' Children
农村留守儿童,Children Left Behind
民办,Non-Gov