Year,Migrant Worker Tot (10k),Local Migrant Worker Tot (10k),Emigrated Worker residing in Town (10k),Emigrated Worker Tot (10k),Emigrated Migrant Worker - Inter-Province (10k),Emigrated Worker - from Eastern (10k) (including Liaoning till 2016),Emigrated Worker - Inter-Province from Eastern (10k) (including Liaoning till 2016),Emigrated Worker - from Central (10k) (including Heilongjiang and Jilin till 2016),Emigrated Worker - Inter-Province from Central (10k) (including Heilongjiang and Jilin till 2016),Emigrated Worker - from Western (10k),Emigrated Worker - Inter-Province from Western (10k),Emigrated Worker - from Northeastern (10k),Emigrated Worker - Inter-Province from Northeastern (10k),Average Monthly Salary (yuan),Migrant Worker Export - Eastern (10k) (including Liaoning till 2016),Migrant Worker Export - Central (10k) (including Heilongjiang and Jilin till 2016),Migrant Worker Export - Western (10k),Migrant Worker Export - Northeastern (10k),Migrant Worker Import - Eastern (10k) (including Liaoning till 2016),Migrant Worker Import - Central (10k) (including Heilongjiang and Jilin till 2016),Migrant Worker Import - Western (10k),Migrant Worker Import - Northeastern (10k),Migrant Worker Import - Other (10k)
2025,30115,12109,13092,18006,6765,4910,602,6562,3375,5859,2578,675,210,5075,10563,10054,8460,1038,15384,7098,6646,897,90
2024,29973,12102,13207,17871,6840,4893,657,6515,3375,5808,2588,655,220,4961,10529,10012,8414,1018,15363,7038,6603,880,89
2023,29753,12095,12816,17658,6751,4823,664,6430,3324,5770,2567,635,196,4780,10484,9904,8367,998,15277,6982,6552,872,70
2022,29562,12372,13256,17190,7061,4687,703,6310,3511,5588,2657,605,190,4615,10403,9852,8351,956,15447,6771,6436,843,65
2021,29251,12079,13309,17172,7130,4636,700,6320,3578,5582,2669,634,183,4432,10282,9726,8248,995,15438,6571,6280,894,68
2020,28560,11601,13101,16959,7052,4624,719,6210,3593,5490,2557,635,183,4072,10124,9447,8034,955,15132,6227,6279,853,69
2019,29077,11652,13500,17425,7508,4792,821,6427,3802,5555,2691,651,194,3962,10416,9619,8051,991,15700,6223,6173,895,86
2018,28836,11570,13506,17266,7594,4718,812,6418,3889,5502,2727,628,166,3721,10410,9538,7918,970,15808,6051,5993,905,79
2017,28652,11467,13710,17185,7675,4714,826,6392,3918,5470,2787,609,144,3485,10430,9450,7814,958,15993,5912,5754,914,79
2016,28171,11237,13585,16934,7666,4691,837,6290,3897,5350,2794,603,138,3275,10400,9279,7563,929,15960,5746,5484,904,77
2015,27747,10863,13742,16884,7745,4944,858,6592,4024,5348,2863,,,3072,10760,9609,7378,895,16008,5599,5209,859,72
2014,27395,10574,,16821,7867,5001,916,6467,4064,5353,2887,,,2864,10664,9446,7285,,,,,,
2013,26894,10284,,16610,7739,4936,882,6424,4017,5250,2840,,,2609,,,,,,,,,
2012,26261,9925,,16336,7647,5146,839,5995,3639,5195,2940,,,2290,11191,8256,6814,,16980,4706,4479,,
2011,25278,9415,,15863,7473,5013,832,5806,3902,5044,2875,,,2049,10790,7942,6546,,16537,4438,4216,,
2010,24223,8888,,15335,7717,4877,961,5613,3878,4846,2757,,,1690,10467,7619,6137,,16213,4104,3845,,
2009,22978,8445,,14533,7441,4636,946,5305,3681,4592,2714,,,1417,10018,7146,5814,,15568,3830,3519,,
2008,22542,8501,,14041,7484,4170,847,5279,3748,4591,2893,,,1340,,,,,,,,,