时间,CPI(YOY),食品烟酒类CPI(YOY),食品类CPI(YOY),烟酒及用品类CPI(YOY),衣着类CPI(YOY),居住类CPI(YOY),生活用品及服务类CPI(YOY),交通和通信类CPI(YOY),教育文化和娱乐类CPI(YOY),医疗保健类CPI(YOY),其他用品和服务类CPI(YOY),CPI(MOM),食品烟酒类CPI(MOM),食品类CPI(MOM),烟酒及用品类CPI(MOM),衣着类CPI(MOM),居住类CPI(MOM),生活用品及服务类CPI(MOM),交通和通信类CPI(MOM),教育文化和娱乐类CPI(MOM),医疗保健类CPI(MOM),其他用品和服务类CPI(MOM)
2024-08-01,0.6,2.1,,,1.4,0.0,0.2,-2.7,1.3,1.3,3.4,0.4,2.2,,,-0.2,0.0,-0.7,-1.1,-0.1,0.0,-0.6
2024-07-01,0.5,0.2,,,1.5,0.1,0.7,-0.6,1.7,1.4,4.0,0.5,0.7,,,-0.4,0,0.4,0.9,1.3,0,0.9
2024-06-01,0.2,-1.1,,,1.5,0.2,0.9,-0.3,1.7,1.5,4.0,-0.2,-0.4,,,-0.2,0.1,-0.4,-0.6,-0.2,0.1,-0.2
2024-05-01,0.3,-1,,,1.6,0.2,0.8,-0.2,1.7,1.5,3.6,-0.1,0,,,0.4,-0.1,-0.7,-0.8,-0.1,0,0.1
2024-04-01,0.3,-1.4,,,1.6,0.2,1.4,0.1,1.8,1.6,3.8,0.1,-0.7,,,-0.1,0,0.4,1,0.5,0.2,2
2024-03-01,0.1,-1.4,,,1.6,0.2,1.0,-1.3,1.8,1.5,2.7,-1,-2.2,,,0.6,0.1,0,-1.4,-2.1,0.1,0.6
2024-02-01,0.7,-0.1,,,1.6,0.2,0.5,-0.4,3.9,1.5,3.0,1,2.2,,,-0.2,0,-0.5,1.6,1.7,0.4,-0.2
2024-01-01,-0.8,-3.6,,,1.6,0.3,1,-2.4,1.3,1.3,2.9,0.3,0.3,,,-0.3,0,1,0.1,0.7,0.1,1.1
2023-12-01,-0.3,-2,,,1.4,0.3,0,-2.2,1.8,1.4,2.9,0.1,0.6,,,0.1,0,0.8,-1.2,0.1,0.1,0.3
2023-11-01,-0.5,-2.2,,,1.3,0.3,-0.5,-2.4,1.8,1.3,3,-0.5,-0.6,,,0.6,0,-0.2,-1.4,-0.9,0,-0.6
2023-10-01,-0.2,-2.1,,,1.1,0.3,-0.6,-0.9,2.3,1.3,3.-0.1,-0.4,,,0.2,0,0.1,0,0,0,0.1,6
2023-09-01,0,-1.5,,,1.1,0.2,-0.4,-1.3,2.5,1.3,3.9,0.2,0.2,,,0.8,0,0.1,0.1,0.4,0.1,-0.1
2023-08-01,0.1,-0.5,,,1.1,0.1,-0.5,-2.1,2.5,1.2,3.80.3,0.4,,,-0.1,0.1,-0.3,1,0.2,0.1,0,
2023-07-01,-0.3,-0.5,,,1,0.1,-0.2,-4.7,2.4,1.2,4.1,0.2,-0.6,,,-0.3,0.1,0.6,1.2,1.3,0.1,0.9
2023-06-01,0,2,,,0.9,0,-0.5,-6.5,1.5,1.1,2.4,-0.2,-0.2,,,-0.2,0.1,-0.5,-0.5,-0.2,0.1,-0.6
2023-05-01,0.2,1.2,,,0.9,-0.2,-0.1,-3.9,1.7,1.1,3.1-0.2,-0.4,,,0.4,-0.1,0,-0.6,-0.1,0.1,0.2,
2023-04-01,0.1,0.8,,,0.9,-0.2,0.1,-3.3,1.9,1,3.5,-0.1,-0.6,,,-0.1,0,0,-0.4,0.5,0.1,1
2023-03-01,0.7,2.1,,,0.8,-0.3,0.7,-1.9,1.4,1,2.5,-0.3,-0.9,,,0.5,0,-0.5,-0.4,-0.1,0.1,0.8
2023-02-01,1,2.1,,,0.7,-0.1,1.4,0.1,1.2,1,2.6,-0.5,-1.3,,,-0.1,0.1,0,-0.5,-0.8,0.2,-0.3
2023-01-01,2.1,4.7,,,0.5,-0.1,1.6,2,2.4,0.8,3.1,0.8,2,,,-0.5,0,0,0.2,1.3,0.3,1.1
2022-12-01,1.8,3.7,,,0.5,-0.2,1.5,2.8,1.4,0.6,2.8,0,0.4,,,0.1,-0.1,0.3,-1.4,0.1,0,0.4
2022-11-01,1.6,3,,,0.5,-0.2,1.5,2.9,1.3,0.5,2.3,-0.2,-0.5,,,0.3,0,-0.3,0.1,-0.4,0,-0.1
2022-10-01,2.1,5.2,,,0.5,-0.2,1.4,3.1,1.2,0.5,1.9,0.1,0.2,,,0.3,-0.1,0.3,-0.4,0.2,0,0.4
2022-09-01,2.8,6.3,,,0.5,0.3,1.4,4.5,1.2,0.7,1.6,0.3,1.3,,,0.8,-0.1,0,-0.6,0.4,0,-0.3
2022-08-01,2.5,4.5,,,0.6,0.6,1.3,4.9,1.6,0.7,2.2,-0.1,0.4,,,-0.2,0,0,-1.7,0.1,0.1,0.3
2022-07-01,2.7,4.7,,,0.7,0.7,1.4,6.1,1.5,0.7,0.9,0.5,1.9,,,-0.4,0,0.3,-0.7,0.5,0,-0.7
2022-06-01,2.5,2.5,,,0.6,0.8,1.5,8.5,2.1,0.7,1.7,0,-1,,,-0.1,0,-0.2,2.2,0.1,0,0.1
2022-05-01,2.1,2.1,,,0.5,1,1.4,6.2,1.8,0.7,1.8,-0.2,-0.9,,,0.4,-0.1,0.2,0.1,0.1,0.1,0.6
2022-04-01,2.1,1.9,,,0.5,1.2,1.2,6.5,2,0.7,1.7,0.4,0.7,,,-0.2,-0.1,0.6,1.1,0.1,0.1,0
2022-03-01,1.5,-0.3,,,0.6,1.3,0.9,5.8,2.6,0.7,2.1,0,-0.9,,,0.4,0.1,0.2,1.6,-0.3,0.1,1
2022-02-01,0.9,-1.8,,,0.6,1.4,0.6,5.5,2.5,0.6,0.3,0.6,1.2,,,-0.3,0.1,0.2,1.4,0.4,0,0.1
2022-01-01,0.9,-1.8,,,0.4,1.4,0.4,5.2,2.9,0.6,-0.1,0.4,1.1,,,-0.5,0,-0.1,1.1,0.2,0.1,0.9
2021-12-01,1.5,-0.1,,,0.6,1.6,0.8,5,3.1,0.7,-0.5,-0.3,-0.3,,,0.1,-0.1,0.3,-1.3,0,0,-0.1
2021-11-01,2.3,1.7,,,0.5,1.7,0.5,7.6,3,0.6,-0.6,0.4,1.6,,,0.3,0,-0.4,0.3,-0.5,0,-0.5
2021-10-01,1.5,-0.9,,,0.5,1.7,0.9,7,2.9,0.6,-0.5,0.7,1.2,,,0.3,0.4,0.3,1,0.2,0.2,0.1
2021-09-01,0.7,-2.8,,,0.5,1.3,0.5,5.8,3.2,0.4,-2.8,0,-0.4,,,0.8,0.2,-0.1,-0.2,0.7,0,0.3
2021-08-01,0.8,-2,,,0.5,1.1,0.6,5.9,3,0.4,-3.9,0.1,0.5,,,-0.1,0.1,0.1,-0.6,0,0,-0.9
2021-07-01,1,-1.8,,,0.4,1.1,0.3,6.9,2.7,0.4,-1.3,0.3,-0.2,,,-0.4,0.2,0.4,1.5,1,0.1,0.2
2021-06-01,1.1,-0.4,,,0.4,0.9,0.3,5.8,1.5,0.3,-0.9,-0.4,-1.4,,,-0.2,0.1,-0.2,0.1,-0.2,0,0.1
2021-05-01,1.3,0.8,,,0.4,0.7,0.4,5.5,1.5,0.2,-0.9,-0.2,-1,,,0.3,0.1,-0.1,0.4,0.3,0,0.6
2021-04-01,0.9,0.1,,,0.2,0.4,0.4,4.9,1.3,0.1,-1.3,-0.3,-1.5,,,0,0.1,0.3,0.4,0.7,0.1,0.4
2021-03-01,0.4,0.1,,,0.1,0.2,0,2.7,0.4,0.2,-1.5,-0.5,-2.4,,,0.4,0.2,-0.1,1.3,-0.4,0,-0.8
2021-02-01,-0.2,0.3,,,-0.5,-0.3,-0.2,-1.9,0.6,0.3,-0.6,1.2,,,-0.5,0.1,0.1,1.1,0.8,0,-0.3,0.8
2021-01-01,-0.3,1.4,,,-0.2,-0.4,0,-4.6,0,0.4,-0.9,1,2.8,,,-0.4,0.1,0.2,0.9,0.4,0.1,0.5
2020-12-01,0.2,1.4,,,-0.1,-0.6,0,-3.1,0.9,1.3,2.2,0.7,2,,,0,0.1,0.1,0.9,-0.1,0,-0.4
2020-11-01,-0.5,-0.7,,,-0.3,-0.6,0,-3.9,1,1.5,2.5,-0.6,-1.6,,,0.3,0,0,-0.3,-0.8,0,-0.6
2020-10-01,0.5,2.4,,,-0.3,-0.7,-0.1,-3.9,1.1,1.5,2.-0.3,-1.2,,,0.4,0.1,0.1,-0.2,0.6,0.1,-1.7,4
2020-09-01,1.7,6.4,,,-0.4,-0.8,-0.1,-3.6,0.7,1.5,4.0.2,0.3,,,0.9,0,0,-0.1,0.8,0,-0.9,3
2020-08-01,2.4,8.8,,,-0.5,-0.7,-0.1,-3.9,0,1.5,6.1,0.4,1,,,-0.2,0.1,0,0.3,-0.3,0.1,2.4
2020-07-01,2.7,10.2,,,-0.5,-0.7,-0.1,-4.4,0.3,1.6,50.6,2,,,-0.5,0,0,0.3,-0.2,0,0.8,.1
2020-06-01,2.5,8.8,,,-0.4,-0.6,0,-4.6,1.9,1.9,5.1,-0.1,0.1,,,-0.2,-0.2,-0.1,-0.3,-0.3,0,0.4
2020-05-01,2.4,8.5,,,-0.4,-0.5,0.1,-5.1,2.2,2.1,5.3-0.8,-2.4,,,0.2,-0.2,0,-0.2,0,0,0.5,
2020-04-01,3.3,11.3,,,-0.4,-0.3,0.1,-4.9,2,2.2,4.8,-0.9,-2.1,,,-0.1,-0.2,-0.1,-1.2,-0.2,0.2,-0.1
2020-03-01,4.3,13.6,,,-0.3,-0.1,0.3,-3.8,2.5,2.2,5.-1.2,-2.7,,,-0.1,-0.3,-0.1,-2.5,-0.1,0.2,0.4,3
2020-02-01,5.2,16,,,0.5,0.3,0.1,-1.6,1,2.2,4.4,0.8,3,,,-0.3,-0.1,-0.1,-1.5,0,0.1,-0.2
2020-01-01,5.4,15.2,,,0.6,0.5,0.2,0.9,2.2,2.3,4.8,1.4,3.1,,,-0.5,0,0.2,1.4,1.4,0.6,1.8
2019-12-01,4.5,12.9,,,0.8,0.5,0.4,-0.7,1.8,2.1,4.4,0,-0.2,,,-0.1,0.1,0.1,0.2,0,0.2,-0.1
2019-11-01,4.5,13.9,,,1.1,0.4,0.4,-2.8,1.7,2,4.5,0.4,1.5,,,0.3,0,-0.1,-0.3,-0.7,0.1,-0.8
2019-10-01,3.8,11.4,,,1.2,0.5,0.6,-3.5,1.9,2.1,5.5,0.9,2.7,,,0.3,0,0.1,0.1,0.1,0.1,0.1
2019-09-01,3,8.4,,,1.6,0.7,0.6,-2.9,1.7,2.2,5.8,0.9,2.6,,,0.8,0.1,0,-0.4,0.1,0.1,0.9
2019-08-01,2.8,7.3,,,1.6,1,0.7,-2.3,2.1,2.3,4.7,0.7,2.2,,,-0.3,0.1,0,-0.2,0,0.2,1.4
2019-07-01,2.8,6.7,,,1.8,1.5,0.8,-2.1,2.3,2.6,3.4,0.4,0.7,,,-0.4,0.1,0.1,0.1,1.3,0.2,0.9
2019-06-01,2.7,6.1,,,1.8,1.6,0.8,-1.9,2.4,2.5,2.7,-0.1,-0.2,,,-0.1,0,-0.1,-0.7,0,0.3,0.6
2019-05-01,2.7,5.8,,,1.7,1.8,1,-0.9,2.6,2.5,2.1,0,0.1,,,0.1,0,0,0,-0.2,0.1,0
2019-04-01,2.5,4.7,,,1.8,2,1.1,-0.5,2.5,2.6,1.9,0.1,0,,,0,0,0.1,0,0.3,0.1,0.4
2019-03-01,2.3,3.5,,,2,2.1,1.2,0.1,2.4,2.7,1.9,-0.4,-0.6,,,0.6,0.1,-0.3,-0.3,-1.6,0.1,-0.5
2019-02-01,1.5,1.2,,,2,2.2,1.3,-1.2,2.4,2.8,2,1,2.3,,,-0.2,0.1,0.1,1,1.3,0.2,0.2
2019-01-01,1.7,2,,,1.6,2.1,1.5,-1.3,2.9,2.7,2.3,0.5,1.1,,,-0.3,0,0.3,-0.2,1,0.4,1.4
2018-12-01,1.9,2.4,,,1.5,2.2,1.4,-0.7,2.3,2.5,1.6,0,0.8,,,0.1,0,0.2,-1.9,0,0.1,0
2018-11-01,2.2,2.5,,,1.4,2.4,1.5,1.6,2.5,2.6,1.5,-0.3,-0.8,,,0.5,0,0.1,-1,-0.6,0.2,0.2
2018-10-01,2.5,2.9,,,1.4,2.5,1.5,3.2,2.5,2.6,1.3,0.2,-0.1,,,0.8,0.2,0.1,0.6,0,0.2,0.3
2018-09-01,2.5,3,,,1.2,2.6,1.6,2.8,2.2,2.7,0.7,0.7,1.5,,,0.7,0.4,0.1,0.3,0.5,0.2,-0.2
2018-08-01,2.3,1.9,,,1.3,2.5,1.6,2.7,2.6,4.3,1.2,0.7,1.7,,,-0.1,0.5,0.1,0,0.2,0.4,0.1
2018-07-01,2.1,1,,,1.2,2.4,1.6,3,2.3,4.6,1.2,0.3,0.2,,,-0.4,0.2,0.1,0.3,1.5,0.2,0.2
2018-06-01,1.9,0.8,,,1.1,2.3,1.5,2.4,1.8,5,0.9,-0.1,-0.5,,,-0.2,0.2,0.1,0.3,0.2,0.2,0
2018-05-01,1.8,0.7,,,1.1,2.2,1.5,1.8,1.9,5.1,1,-0.2,-0.8,,,0.2,0.1,0.1,0.4,-0.2,0.2,-0.2
2018-04-01,1.8,1.1,,,1.1,2.2,1.5,1.1,2,5.2,0.9,-0.2,-1.2,,,0.2,0.1,0.2,0.6,0.2,0.2,0.4
2018-03-01,2.1,2,,,1.1,2.2,1.6,0.3,2.2,5.7,1.2,-1.1,-2.8,,,0.6,0.2,-0.2,-1.5,-1.6,0.2,-0.5
2018-02-01,2.9,3.6,,,1.1,2.2,1.8,1.5,3.7,6,1.7,1.2,3.1,,,-0.6,0,0.3,0.9,1.8,0.1,0.4
2018-01-01,1.5,0.2,,,1.4,2.7,1.5,0.2,0.9,6.2,1.2,0.6,1.5,,,-0.3,0.1,0.3,0.4,0.5,0.2,0.8
2017-12-01,1.8,0.3,,,1.3,2.8,1.6,1.2,2.1,6.6,1.9,0.3,0.8,,,0,0.2,0.2,0.4,0.1,0.1,-0.1
2017-11-01,1.7,-0.2,,,1.2,2.8,1.5,1.3,2,7,1.7,0,-0.3,,,0.5,0.2,0.1,0.5,-0.5,0.2,0
2017-10-01,1.9,0.3,,,1.2,2.8,1.5,0.8,2.3,7.2,1.8,0.1,0,,,0.5,0.2,0.2,0.2,-0.3,0.2,-0.2
2017-09-01,1.6,-0.4,,,1.3,2.8,1.4,0.5,2.3,7.6,1.4,0.5,0.4,,,0.9,0.3,0.1,0.1,0.9,1.8,0.2
2017-08-01,1.8,0.4,,,1.3,2.7,1.3,0.7,2.5,5.9,1.4,0.4,0.9,,,-0.2,0.4,0.1,0.3,-0.1,0.7,0.2
2017-07-01,1.4,-0.1,,,1.4,2.5,1.1,-0.2,2.5,5.5,1.3,0.1,0,,,-0.4,0.1,0.1,-0.3,1,0.5,-0.1
2017-06-01,1.5,-0.2,,,1.4,2.5,1.1,0.1,2.5,5.7,2.8,-0.2,-0.7,,,-0.2,0.2,0.1,-0.3,0.3,0.3,0.1
2017-05-01,1.5,-0.5,,,1.3,2.5,1,1.1,2.6,5.9,2.9,-0.1,-0.4,,,0.1,0.1,0.2,-0.3,-0.1,0.4,-0.2
2017-04-01,1.2,-1.8,,,1.3,2.4,0.8,1.8,2.6,5.7,3.4,0.1,-0.3,,,0.2,0.1,0.2,-0.2,0.4,0.7,0.7
2017-03-01,0.9,-2.4,,,1.3,2.4,0.7,2,2.3,5.3,2.9,-0.3,-1.3,,,0.6,0.2,0,-0.4,-0.2,0.5,0
2017-02-01,0.8,-2.4,,,1.2,2.5,0.5,1.7,1.8,5.1,3.1,-0.2,-0.3,,,-0.3,0.4,0,-0.4,-0.9,0.3,0
2017-01-01,2.5,2.5,,,1.1,2.3,0.6,2.3,3.3,5,4.8,1,1.7,,,-0.4,0.3,0.3,1.4,1.6,0.6,1.5
2016-12-01,2.1,2.2,,,1.1,2.1,0.4,0.9,2.3,4.6,4,0.2,0.3,,,-0.1,0.2,0.2,0.5,0.1,0.5,-0.3
2016-11-01,2.3,3.2,,,1.4,2,0.3,0,2.2,4.4,4.2,0.1,0.2,,,0.6,0.2,0,0,-0.3,0.4,0
2016-10-01,2.1,3,,,1.3,1.8,0.4,-0.4,2.1,4.8,3.6,-0.1,-0.6,,,0.6,0.2,0.1,-0.1,-0.3,0.6,-0.6
2016-09-01,1.9,2.7,,,1.2,1.5,0.3,-0.4,2,4.3,4.4,0.7,1.2,,,0.8,0.3,0,0.3,1.2,0.2,0.2
2016-08-01,1.3,1.5,,,1.3,1.5,0.4,-1.2,1.3,4.3,4.5,0.1,0.3,,,-0.1,0.2,0,-0.6,-0.1,0.3,0.1
2016-07-01,1.8,2.8,,,1.4,1.6,0.6,-1.6,1.6,4.3,4.4,0.2,-0.1,,,-0.4,0.1,0,0.1,1,0.7,1.4
2016-06-01,1.9,3.7,,,1.4,1.6,0.6,-1.8,1.4,3.8,2.6,-0.1,-0.9,,,-0.3,0.1,0,0.7,0.3,0.5,0.1
2016-05-01,2,4.7,,,1.5,1.6,0.6,-2.6,1.2,3.5,2.2,-0.5,-1.8,,,0.1,0.1,0,0.3,-0.1,0.2,0.3
2016-04-01,2.3,5.9,,,1.5,1.4,0.5,-2.4,1.2,3.2,1.7,-0.2,-0.9,,,0.1,0.2,0.1,0.1,0.1,0.3,0.1
2016-03-01,2.3,6,,,1.5,1.3,0.4,-2.6,1.2,3.1,1.7,-0.4,-1.3,,,0.5,0.3,-0.2,-0.7,-0.7,0.3,0.3
2016-02-01,2.3,5.8,,,1.6,1.3,0.3,-1.6,0.9,2.8,0.4,1.6,4.6,,,-0.4,0.1,0.1,0.3,0.6,0.1,1.6
2016-01-01,1.8,3.6,,,1.9,1.4,0.6,-1.6,1.7,2.9,-0.4,0.5,1.4,,,-0.4,0.1,0.1,0,0.6,0.3,0.7
2015-12-01,1.6,,2.7,3.9,2,0.8,,-1.3,,,
2015-11-01,1.5,,2.3,3.8,2.2,0.7,,-1.4,,,
2015-10-01,1.3,,1.9,3.8,2.4,0.6,,-1.9,,,
2015-09-01,1.6,,2.7,3.8,2.8,0.8,,-2.1,,,
2015-08-01,2,,3.7,3.8,2.9,0.8,,-2.1,,,
2015-07-01,1.6,,2.7,3.6,2.9,0.8,,-1.8,,,
2015-06-01,1.4,,1.9,3.5,2.9,0.8,,-1.5,,,
2015-05-01,1.2,,1.6,1.7,2.8,0.7,,-1.3,,,
2015-04-01,1.5,,2.7,-0.5,2.9,0.6,,-1.6,,,
2015-03-01,1.4,,2.3,-0.5,3,0.6,,-1.5,,,
2015-02-01,1.4,,2.4,-0.6,2.9,0.6,,-1.7,,,
2015-01-01,0.8,,1.1,-0.4,2.9,0.8,,-2.2,,,
2014-12-01,1.5,,2.9,-0.7,2.6,1,,-1.4,,,
2014-11-01,1.4,,2.3,-0.7,2.6,1.4,,-0.8,,,
2014-10-01,1.6,,2.5,-0.5,2.4,1.6,,-0.3,,,
2014-09-01,1.6,,2.3,-0.6,2.4,1.6,,-0.3,,,
2014-08-01,2,,3,-0.6,2.6,1.9,,0.2,,,
2014-07-01,2.3,,3.6,-0.6,2.6,2,,0.7,,,
2014-06-01,2.3,,3.7,-0.6,2.6,2.2,,0.6,,,
2014-05-01,2.5,,4.1,-0.6,2.5,2.3,,0.6,,,
2014-04-01,1.8,,2.3,-0.6,2.3,2.4,,0.1,,,
2014-03-01,2.4,,4.1,-0.7,2.3,2.5,,-0.4,,,
2014-02-01,2,,2.7,-0.7,2.2,2.8,,-0.4,,,
2014-01-01,2.5,,3.7,-0.7,1.9,2.8,,0.2,,,
2013-12-01,2.5,,4.1,-0.4,2.1,2.8,,-0.1,,,
2013-11-01,3,,5.9,-0.2,2,2.6,,-0.5,,,
2013-10-01,3.2,,6.5,-0.2,2.4,2.6,,-0.6,,,
2013-09-01,3.1,,6.1,-0.2,2.3,2.6,,-0.2,,,
2013-08-01,2.6,,4.7,0,2.2,2.6,,0,,,
2013-07-01,2.7,,5,0.2,2.2,2.8,,-0.1,,,
2013-06-01,2.7,,4.9,0.3,2.3,3.1,,-0.7,,,
2013-05-01,2.1,,3.2,0.5,2.5,3,,-1.2,,,
2013-04-01,2.4,,4,0.8,2.5,2.9,,-1.1,,,
2013-03-01,2.1,,2.7,1,2.3,2.9,,-0.3,,,
2013-02-01,3.2,,6,1.1,2.1,2.8,,0.2,,,
2013-01-01,2,,2.9,1.4,2.5,2.9,,-0.3,,,
2012-12-01,2.5,,4.2,1.5,1.9,3,,0,,,
2012-11-01,2,,3,1.7,2.3,2.6,,0,,,
2012-10-01,1.7,,1.8,2,2.7,2.5,,0.1,,,
2012-09-01,1.9,,2.5,2.4,3.4,2.3,,-0.2,,,
