时间,商品零售价格指数(YOY),食品类商品零售价格指数(YOY),饮料、烟酒类商品零售价格指数(YOY),服装、鞋帽类商品零售价格指数(YOY),纺织品类商品零售价格指数(YOY),家用电器及音像器材类商品零售价格指数(YOY),文化办公用品类商品零售价格指数(YOY),日用品类商品零售价格指数(YOY),体育娱乐用品类商品零售价格指数(YOY),交通、通信用品类商品零售价格指数(YOY),家具类商品零售价格指数(YOY),化妆品类商品零售价格指数(YOY),金银珠宝类商品零售价格指数(YOY),中西药品及医疗保健用品类商品零售价格指数(YOY),书报杂志及电子出版物类商品零售价格指数(YOY),燃料类商品零售价格指数(YOY),建筑材料及五金电料类商品零售价格指数(YOY),商品零售价格指数(上月=100),食品类商品零售价格指数(上月=100),饮料、烟酒类商品零售价格指数(上月=100),服装、鞋帽类商品零售价格指数(上月=100),纺织品类商品零售价格指数(上月=100),家用电器及音像器材类商品零售价格指数(上月=100),文化办公用品类商品零售价格指数(上月=100),日用品类商品零售价格指数(上月=100),体育娱乐用品类商品零售价格指数(上月=100),交通、通信用品类商品零售价格指数(上月=100),家具类商品零售价格指数(上月=100),化妆品类商品零售价格指数(上月=100),金银珠宝类商品零售价格指数(上月=100),中西药品及医疗保健用品类商品零售价格指数(上月=100),书报杂志及电子出版物类商品零售价格指数(上月=100),燃料类商品零售价格指数(上月=100),建筑材料及五金电料类商品零售价格指数(上月=100)
2022年12月,2,3.9,1.7,0.5,0,-1.1,0.7,2.4,1.1,-1.2,0.4,4.6,8.4,0.6,2.2,8.1,-0.1,-0.3,0.3,0.1,0.1,0,0.4,0.2,0.5,0.4,0.1,-0.1,-0.2,1.2,0,0,-4.1,-0.1
2022年11月,1.8,3.3,1.7,0.6,0.1,-1,1.2,2.2,0.8,-1.4,0.4,5.2,5,0.4,2.1,8.1,0.1,-0.1,-0.6,0.2,0.3,0,-1.2,-0.5,-0.5,-1,-0.6,0,0.3,2.8,0,0,1.4,0.1
2022年10月,2.3,5.6,1.8,0.4,0.3,0,0.7,1.6,2,-1,1,3.6,3.6,0,2.3,8.5,0.5,0.1,0,0.3,0.3,0.2,0.1,0.1,0.5,0.6,0.1,0.1,0.3,1.7,0,0.2,-0.7,0.1
2022年9月,3.2,6.9,1.7,0.5,0.4,0,1.5,1.5,1.5,-1.2,1.1,4.2,0.7,0.1,2.1,15.4,1.5,0.3,1.5,0,0.9,0.1,-0.3,0.9,-0.1,-0.2,-0.1,0,0.8,-1,0,0.7,-0.7,0.1
2022年8月,3.1,4.9,1.6,0.5,0.2,0.4,1.1,1.9,1.6,-1,1.1,2.4,2.4,0.1,1.9,17.2,1.8,-0.4,0.4,0,-0.3,-0.2,-0.3,0.3,0,-0.3,-0.2,0,0.5,1.9,0.1,0.4,-3.5,-0.2
2022年7月,3.5,5.1,1.7,0.7,0.4,0.5,0.3,1,1.9,-0.8,1.2,3.5,-1.7,0,1.5,20.8,2.2,0.1,2.2,0.1,-0.4,0,0.7,0.3,-0.2,0,0.2,0.1,-0.1,-3.9,0,-0.6,-2.6,0
2022年6月,3.7,2.7,1.9,0.6,0.2,0.4,0.7,2.3,2.1,-0.9,1.4,3,-0.5,0.1,2.4,27.2,2.3,0.2,-1.2,0.2,-0.1,-0.1,-0.8,-0.1,0.5,-0.1,-0.4,0,-0.3,-0.5,0.1,0.4,4.5,0.2
2022年5月,3.3,2.3,1.9,0.5,0.3,1.1,0.5,1.8,2.2,-0.7,1.5,2.8,1,0,2.1,23.6,2.3,-0.1,-1,0.1,0.4,0,-0.1,-0.2,0.7,0.5,-0.4,0.2,1.1,0.2,0.1,0.5,0.4,-0.2
2022年4月,3.4,2.1,1.9,0.5,0.3,1.4,0.8,0.9,1.8,-0.4,1.5,0.8,2.6,0,1.2,24.9,2.8,0.4,0.8,0.2,-0.2,0,0.1,0.2,0.8,0.8,-0.1,0,2.1,-1.4,0.1,-0.2,1.8,0.1
2022年3月,2.7,-0.3,1.9,0.6,0.5,1.7,1.1,-0.1,0.8,-0.3,1.5,-0.4,6.3,-0.1,1.6,22.1,3,0.6,-1,0.3,0.4,0.1,-0.1,0.3,0.6,-0.1,0.1,0,0.3,4.3,0.1,-0.1,5.9,0
2022年2月,1.9,-2.1,2.1,0.6,0.5,2.3,1.2,-0.8,1.1,-0.4,1.9,-1,-1.1,-0.3,1.8,20.2,3.4,0.8,1.3,0.2,-0.4,-0.1,0.7,0.5,0.3,0.9,-0.1,0.1,1.3,2.2,0,0.6,4.2,0
2022年1月,1.5,-1.9,1.7,0.4,0.7,1.5,0.8,-1.2,0.5,0,2.2,-3.3,-5,-0.3,1.2,18.1,3.6,0.3,1.3,-0.1,-0.6,-0.1,-0.2,-1.2,-0.7,-0.4,0.2,0.1,-1.4,1,0,0.3,1.7,-0.1
2021年12月,2.2,-0.1,1.9,0.6,0.9,2.1,1.9,-0.1,1,-0.2,2.2,-2.4,-4.8,-0.4,0.9,20.3,3.7,-0.5,-0.3,0.1,0.1,0.1,0.5,0.6,0.4,0,0,-0.1,0.3,-2.1,-0.1,-0.1,-4.1,0.1
2021年11月,3.4,1.9,1.9,0.5,0.9,1.9,1.7,-0.4,1.1,-0.1,2.3,-3.1,-4,-0.3,0.9,30.2,3.8,0.4,1.6,0.4,0.2,0.3,-0.2,-0.9,-1.1,0.2,-0.2,0.6,-1.2,1.5,-0.4,0.2,1.8,0.5
2021年10月,2.9,-1,1.7,0.6,0.7,2,2.7,0.7,1,0.6,1.7,-0.5,-6.5,0,0.7,27.9,3.4,1,1.3,0.2,0.3,0.3,0,0.9,0.3,0.1,0,0.2,0.9,-1.2,0.1,0,5.7,1.1
2021年9月,1.8,-3,1.8,0.7,0.4,2.1,2.2,0.2,1,1.4,1.8,-2,-7.4,0,0.8,19.7,2.5,0.1,-0.5,-0.1,1,-0.1,0.1,0.5,0.3,0,0.1,0,-0.9,0.7,0,0.5,0.8,0.4
2021年8月,1.6,-2.2,1.8,0.6,0.5,2,1.6,-0.1,1,1.1,1.6,-1,-11.1,0.1,0.4,18,2,0,0.6,0.1,-0.1,0,-0.1,-0.6,-0.8,0,0,0.1,1.5,-2.3,0,0,-0.5,0.2
2021年7月,1.9,-2,1.8,0.5,0.4,1.8,1.9,0.5,1,1.1,1.5,-3,-1.5,0.1,0.5,19.2,1.7,0.3,-0.2,0.3,-0.4,-0.1,0.6,0.8,1.1,0.1,0.1,0.3,-0.5,-2.6,0.1,0.3,2.6,0.1
2021年6月,2.1,-0.4,1.7,0.4,0.6,1.4,1,-0.5,0.9,0.8,1.3,-1.4,4.1,-0.2,0.2,18,1.6,-0.2,-1.6,0.2,-0.3,0,-0.1,-0.4,0,0,-0.2,0.1,-0.6,1,0.1,0.1,1.6,0.1
2021年5月,2.1,1,1.4,0.4,0.4,1.1,1.5,-0.7,0.8,0.8,1,-0.5,4.5,-0.4,0.3,16.1,1.4,0,-1.1,0.1,0.4,0.1,0.3,0.1,-0.2,0.2,-0.1,0.2,-0.9,1.8,0,-0.4,1.5,0.3
2021年4月,1.6,0,1.2,0.1,0.2,0.6,1.1,-0.5,0.6,0.6,1,-0.1,4.5,-0.9,0.8,14,1.1,-0.3,-1.7,0.2,0,0.2,0.4,0.5,-0.2,-0.1,0,0,0.9,2.1,0,0.1,-0.5,0.3
2021年3月,0.9,0,1.1,0,0,-0.2,0.7,-0.6,0.6,0.3,0.7,-0.7,2.2,-1.1,0.6,8.3,0.6,-0.1,-2.8,0.5,0.4,0.1,0.4,0.4,-0.1,0.2,0,0.3,-0.3,-2.9,0,0.2,4.2,0.4
2021年2月,-0.3,0.2,0.7,-0.5,-0.2,-0.6,0.9,-0.8,0.3,0.1,0.3,-1.8,7.4,-0.9,0.6,-3.4,0,0.5,1.5,-0.2,-0.5,0.1,-0.1,0,-0.1,0.2,0.3,0.4,-1.1,-1.9,0,0,2.4,0.1
2021年1月,-0.5,1.5,1.2,-0.2,-0.2,-0.6,0.8,-0.3,0.1,-0.1,0,1,9.8,-0.5,0.5,-9.4,0,1,3.2,0,-0.4,0.1,0.3,0,0.3,0.2,0.1,0.1,-0.5,1.2,-0.1,0,3.6,0
2020年12月,-0.3,1.4,1,-0.1,-0.6,-1.3,0.5,0,-0.1,-0.6,-0.1,0.8,12.3,0.1,1.3,-9.2,0,0.9,2.4,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0,0.1,-1.3,0,0.1,3.5,0.2
2020年11月,-1.1,-1.1,1,-0.4,-0.7,-1.4,0.6,0,-0.2,-1,-0.1,0.8,13.5,0.2,1.2,-10.9,0,-0.4,-1.9,0.2,0.4,-0.1,-0.2,0,0,0.1,0.3,0.1,-0.1,-1.1,0.1,0.1,0.3,0.1
2020年10月,-0.3,2.5,0.9,-0.4,-0.5,-1.8,0.7,0,-0.3,-1.3,-0.2,0.9,12.4,0.2,1.2,-11,0.1,-0.4,-1.5,0.3,0.4,0,0.2,0.2,0,0.1,0,0.3,0.1,-2.1,0.1,0.1,-0.8,0.2
2020年9月,0.8,7.1,0.8,-0.5,-0.3,-2.1,0.5,-0.1,-0.3,-1.4,-0.5,1.1,14.1,0.2,1.2,-9.8,0.1,0.1,0.4,-0.1,1,0.1,0,-0.1,-0.2,0.1,0,-0.1,0.2,-3.3,0,0.1,-0.4,0
2020年8月,1.6,9.7,0.9,-0.7,-0.4,-2.4,0.6,0.1,-0.3,-1.3,-0.3,1,22.9,0.3,1.7,-9.3,0.1,0.5,1.2,0.1,-0.2,-0.1,-0.1,0,0,0,0,0.1,0.1,8.3,0.1,0.1,0.4,0
2020年7月,1.7,11,1,-0.8,-0.2,-2.5,0.3,0.1,-0.2,-1.5,-0.4,1.1,19.3,0.5,1.9,-10.3,0.1,0.6,2.3,0.1,-0.5,0,0,-0.2,0,-0.1,-0.2,0.1,0.1,2.8,0,0,1.2,-0.1
2020年6月,1.1,9.4,1.2,-0.6,-0.1,-2.4,0.4,0.2,-0.1,-1.4,-0.4,1.2,19.2,0.7,1.8,-12.5,0.2,-0.1,0.1,0.1,-0.3,-0.2,-0.5,-0.1,-0.1,-0.1,-0.4,-0.1,-0.1,1.4,-0.1,0.3,-0.1,0
2020年5月,0.9,8.9,1.4,-0.5,0,-2.3,0.2,0.3,-0.1,-1.2,-0.2,1.5,20.9,1,1.5,-14.5,0.3,-0.7,-2.8,-0.1,0.2,0,-0.1,0.1,0,0,-0.3,0.1,-0.1,1.7,-0.2,0.1,-0.5,0
2020年4月,1.7,12.2,1.5,-0.6,0.1,-2.2,0.1,0.3,-0.2,-1.5,-0.2,1.7,18.5,1.5,1.4,-13.1,0.3,-1.1,-2.5,0,-0.1,-0.1,-0.3,0.1,-0.1,-0.2,0,-0.2,0.3,0.1,0,0,-4.9,-0.2
2020年3月,2.8,15,1.4,-0.4,0.1,-1.8,-0.1,0.4,-0.1,-1.9,0.1,1.9,19.6,1.7,1.5,-8.9,0.5,-1.3,-3.3,0.1,-0.1,0,-0.2,0.4,0,-0.1,-0.1,-0.1,-0.1,2,0.2,0.1,-6.3,-0.2
2020年2月,4.2,17.9,1.7,0.4,0.2,-1.8,-0.3,0.3,-0.1,-2.1,0.2,1.8,17.1,1.9,1.6,-1,0.8,0.6,3.6,0.3,-0.3,0,0,0.1,0.2,0,0,0,0.1,0.3,0.1,0,-3.3,0
2020年1月,4.3,17,1.3,0.5,0.1,-2,-0.6,0.3,0.1,-2.2,0.3,1.8,16.1,2.2,1.8,4.2,0.8,1,3.8,-0.3,-0.6,-0.2,-0.3,-0.1,0,0.1,-0.1,-0.1,0.2,3.3,-0.2,0.3,1.9,0.1
2019年12月,3.4,14.3,1.5,0.8,0.4,-1.8,-0.6,0.3,0,-2.3,0.5,1.6,14.8,2.7,3,0.1,0.8,0.1,-0.2,0.1,-0.2,0,0.1,0.2,0.1,0,-0.2,0,0.1,-0.3,0.1,0,1.4,0.2
2019年11月,3,15.6,1.4,1.1,0.4,-1.7,-0.8,0.3,0.1,-2,0.6,1.6,14.7,2.8,3.1,-7.2,0.7,0.4,1.7,0.2,0.4,0.1,-0.6,0,-0.1,0,-0.1,0,0,-2,0.1,0.1,0.2,0.2
2019年10月,2.2,12.5,1.4,1.1,0.5,-1.4,-0.8,0.4,0.2,-1.8,0.8,1.7,18.6,3,3.1,-10.1,0.7,0.8,2.9,0.2,0.3,0.2,-0.1,0.1,0,0.1,0,0,0.2,-0.6,0.1,0,0.6,0.1
2019年9月,1.9,9.1,1.4,1.6,0.5,-1.4,-0.5,0.5,0.2,-1.6,1,1.5,20.1,3.3,3.3,-7.9,0.8,0.8,2.8,0,0.9,-0.1,-0.3,0,0,0.1,0,0,0.1,4.2,0.1,0.7,0.1,0
2019年8月,1.8,8.1,1.3,1.6,0.8,-1.3,-0.1,0.7,0.1,-1.6,1,1.7,14.1,3.5,3.4,-6,0.8,0.5,2.4,0.2,-0.3,0.2,-0.2,-0.3,0,0,-0.2,0,0.2,5.1,0.2,0.2,-0.7,0
2019年7月,1.8,7.7,1.2,1.8,0.6,-1.3,0.2,0.7,0.2,-1.7,1.1,1.7,8,4,4.4,-4.7,0.9,0.1,0.7,0.3,-0.4,0.1,0,-0.1,0.1,0,-0.1,0.1,0.2,2.7,0.2,0,-1.4,0.1
2019年6月,1.8,7.1,1.1,1.8,0.6,-1.2,0.1,0.8,0.3,-1.9,1,1.6,5,4.2,5.8,-2.6,1,-0.3,-0.3,0.2,-0.1,-0.1,-0.4,-0.3,0,-0.1,-0.3,0,0.2,2.8,0.2,0,-2.3,0
2019年5月,2.1,6.7,1,1.7,0.8,-0.9,0.4,0.7,0.4,-1.7,1.2,1.5,1.8,4.4,5.8,1,1,0.1,0.1,0,0.1,0.1,0,0,0.1,-0.1,-0.6,0.1,0.1,-0.2,0.3,-0.1,1.1,0
2019年4月,2,5.4,1.2,1.8,0.8,-0.8,0.2,0.9,0.5,-1.4,1.4,1.4,1.6,4.5,5.9,1.9,1.2,-0.1,-0.1,0,0,-0.1,0.1,-0.1,-0.1,-0.1,-0.3,0.1,0.5,1,0.3,0.1,-0.3,0
2019年3月,1.9,3.9,1.3,1.9,1.1,-0.9,0.5,1.2,0.7,-1,1.3,1.2,0.8,4.7,5.9,3.4,1.4,0,-0.9,0.4,0.7,0.1,-0.2,0.2,0,-0.1,-0.3,0,-0.2,-0.2,0.3,0.2,1.9,0.1
2019年2月,1,1.2,1.2,1.9,1.1,-0.9,-0.1,1.3,0.7,-0.9,1.5,1.4,1.2,4.9,5.9,-0.5,1.5,0.8,2.8,-0.1,-0.2,-0.1,-0.2,-0.2,0.2,0.2,-0.1,0.1,0.1,-0.5,0.4,0.1,1.8,0
2019年1月,1,2.2,1.2,1.5,1,-0.9,0,1,0.7,-1.1,1.6,1.3,-0.1,4.7,5.8,-2.1,1.6,0.1,1.4,-0.2,-0.3,0,0,0,-0.1,0,-0.2,0.1,0,2.1,0.2,1.5,-2.1,0.1
2018年12月,1.4,2.7,1.5,1.4,1,-0.8,0,1.1,0.8,-1,1.6,1.2,-0.6,4.7,4.8,1.8,1.8,-0.3,1,0.1,0.1,0,0.1,-0.1,0.1,0.2,0.1,0,0.1,-0.3,0.2,0.1,-6,0.1
2018年11月,2.2,2.7,1.6,1.3,1.1,-0.8,0.3,1.1,0.8,-1,1.7,1.3,-1.6,4.8,4.9,9.8,2.2,-0.4,-1,0.2,0.4,0.3,-0.3,0.1,0.1,0,0.1,0.2,0.1,1.2,0.3,0.2,-2.9,0.2
2018年10月,2.8,3.4,1.6,1.4,0.9,-0.6,0.3,1.3,0.9,-1.2,1.9,1.2,-2.8,4.8,5,15.8,2.4,0.4,-0.2,0.2,0.8,0.2,0,0.4,0.1,0.1,0.2,0.2,0.1,0.7,0.4,0.2,3,0.2
2018年9月,2.6,3.5,1.5,1.2,1,-0.6,-0.1,1.4,0.8,-1.6,2.1,1.2,-4.5,4.6,4.9,15.2,2.7,0.7,1.9,-0.1,0.8,0.2,-0.2,0.4,0.2,0,0,0,0.3,-1,0.4,0.8,2.2,0.1
2018年8月,2.3,2,1.7,1.4,0.7,-0.6,-0.3,1.3,1,-1.6,2.4,1,-3.1,4.6,4.8,14.2,2.9,0.5,2,0.1,-0.1,-0.1,-0.1,-0.1,0,0.1,-0.3,0.1,0.2,-0.5,0.6,1.2,0.7,0.1
2018年7月,2.2,1.1,1.6,1.3,0.8,-0.6,-0.3,1.2,0.9,-1.3,2.6,0.8,-1.9,4.4,3.7,15.5,3.1,0.1,0.2,0.2,-0.4,0.1,0.1,-0.1,0.1,0,-0.3,0,0.1,-0.2,0.4,1.3,0.8,0.1
2018年6月,1.8,0.9,1.5,1.2,0.7,-0.6,-0.2,1.1,0.8,-1.2,2.9,0.8,-3,4.2,2.5,12.5,3,0,-0.6,0.1,-0.2,0.1,-0.1,-0.1,0,0,-0.1,0.2,0.1,-0.3,0.5,0,1.3,0
2018年5月,1.5,0.8,1.5,1.2,0.7,-0.6,-0.1,1.2,0.8,-1.3,2.8,0.7,-2.8,4.1,2.5,9.4,3.2,0,-1.1,0.2,0.2,0.2,0.1,-0.2,0.2,0.1,-0.2,0.2,0,-0.4,0.4,0,2,0.3
2018年4月,1.4,1.3,1.4,1.1,0.8,-0.5,0,1,0.8,-1.5,2.8,0.9,-3,4.3,2.5,6.5,3.1,-0.1,-1.5,0.1,0.2,0.2,0,0.1,0.2,0.1,0,0.1,0.3,0.2,0.5,0.1,1.2,0.2
2018年3月,1.4,2.4,1.4,1.1,0.8,-0.3,-0.1,0.8,0.7,-1.6,3,0.9,-1.7,4.3,2.4,4.3,3.1,-0.9,-3.5,0.3,0.7,0,-0.1,-0.3,0.1,-0.1,-0.2,0.2,0,0.2,0.5,0.2,-2,0.2
2018年2月,2,4.3,1.3,1,0.8,-0.1,0.4,0.8,0.7,-1.6,3,1,-2.1,4.4,2.3,6,3.2,0.7,3.9,-0.1,-0.6,-0.2,-0.2,-0.1,-0.1,0.2,-0.2,0.2,0,-1.8,0.2,0,0.1,0
2018年1月,1.3,-0.1,1.6,1.4,0.8,0.4,0.5,1,0.7,-1.5,3,1.2,1.6,4.5,2.3,6.1,3.2,0.6,1.9,0.1,-0.4,0,0.1,-0.1,0.1,0.2,-0.1,0.2,0,1.6,0.3,0.6,1.8,0.3
2017年12月,1.4,0.1,1.4,1.3,0.5,0.4,0.7,0.9,0.7,-1.4,2.9,1.2,1.3,4.5,2.2,7.8,3.1,0.4,1,0.1,0,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.2,-1.3,0.3,0.1,1.4,0.6
2017年11月,1.3,-0.4,1.3,1.1,0.4,0.4,0.4,0.9,0.7,-1.4,3.1,1,-0.6,4.6,2.1,8.6,2.9,0.2,-0.4,0.2,0.6,0,-0.1,0,0.2,0.1,0,0.4,-0.1,0.1,0.3,0.3,2.4,0.4
2017年10月,1.3,0.2,1.2,1.1,0.4,0.3,0.4,0.7,0.7,-1.3,3.1,1.2,-0.5,5,1.8,7.7,2.8,0.3,0,0.2,0.6,0.3,-0.1,0,0.2,0,-0.1,0.3,0.1,-1.1,0.3,0.1,2.5,0.4
2017年9月,1,-0.6,1.2,1.2,0.6,0.3,0.3,0.5,0.7,-1.3,2.7,1.2,-2.2,5.1,1.8,6.2,2.5,0.4,0.4,0.1,1,0,-0.2,0.2,0.1,0.1,0,0.3,0.1,0.5,0.4,0.7,1.3,0.3
2017年8月,1.1,0.5,1.1,1.1,0.7,0.2,-0.1,0.4,0.6,-1.5,2.3,1.1,-3,5.1,1.5,6.8,2.3,0.4,1.1,0.1,-0.2,0,-0.1,0,0,0,-0.1,0.3,0,0.7,0.4,0.2,1.9,0.3
2017年7月,0.7,-0.2,1,1.3,0.7,0.1,-0.4,0.4,0.6,-1.6,2,1,-3.4,5.3,1.5,3.1,2.1,-0.2,0,0.1,-0.4,0,0,0,0,0,-0.2,0.2,0.1,-1.4,0.2,0.1,-1.8,0.1
2017年6月,0.9,-0.3,1,1.3,0.5,0,-0.5,0.4,0.6,-1.6,1.7,1.2,2.8,5.6,1.5,4.7,1.9,-0.3,-0.8,0.1,-0.2,0.1,-0.1,0,0,-0.1,-0.2,0.1,0,0,0.4,0,-1.6,0.2
2017年5月,1.1,-0.7,0.9,1.1,0.4,-0.2,-0.6,0.4,0.6,-1.6,1.6,1.4,3.2,6,1.6,8.6,1.8,-0.2,-0.6,0.1,0.1,0.3,0.1,-0.1,0.1,0.1,-0.3,0.2,0.2,-0.6,0.6,0.1,-0.6,0.2
2017年4月,0.9,-2.4,0.8,1.1,0.2,-0.5,-0.8,0.3,0.5,-1.6,1.4,1.4,5.9,5.9,1.5,11.5,1.8,-0.1,-0.4,0.2,0.2,0.2,0.2,0.1,0,0,-0.1,0.3,0.4,1.4,0.5,0,-0.9,0.2
2017年3月,0.7,-3.3,0.6,1.1,0.1,-0.9,-1.1,0.3,0.5,-1.7,1.2,1.4,3.8,5.9,1.5,12.5,1.7,-0.3,-1.7,0.3,0.6,0,0.1,0.2,0.1,-0.1,-0.2,0.2,0.1,-0.1,0.5,0,-0.4,0.2
2017年2月,0.7,-3.2,0.5,1,0.1,-1.2,-1.3,0.2,0.5,-1.6,0.9,1.4,7.3,5.8,1.4,12.5,1.3,0,-0.4,0.2,-0.3,-0.1,0.3,0,0.1,0.2,-0.1,0.2,0.1,1.9,0.3,0.1,0.2,0
2017年1月,1.9,2.8,0.2,0.8,0.2,-1.7,-1.3,0.1,0.6,-1.5,0.7,1.4,9.8,5.7,1.4,11.6,1.3,0.8,2.1,-0.1,-0.6,-0.2,0.1,0.1,0,0.1,0,0.1,0,1.4,0.3,0.5,3.5,0.2
2016年12月,1.5,2.4,0.2,1,0.4,-2,-1.6,0.2,0.6,-1.7,0.8,1.5,10.5,5.9,1.6,7.5,1.1,0.3,0.4,0,-0.2,0,0.2,0,0.2,0.2,0.1,0.3,0,-3.2,0.4,0,2.2,0.3
2016年11月,1.5,3.7,0.2,1.3,0.6,-2.2,-1.4,0,0.5,-1.8,0.6,1.5,13.4,5.8,1.7,3.8,0.8,0.3,0.2,0.1,0.6,0,-0.3,0,0,0.1,0,0.4,0.1,0.2,0.6,0,1.4,0.3
2016年10月,1.1,3.4,0.2,1.3,0.7,-2.1,-1.4,0.1,0.5,-2,0.2,1.4,10.2,4.9,1.6,1.6,0.5,0,-0.8,0.1,0.6,0.4,0,-0.1,0,0.1,0,0,0.1,-2.9,0.4,0,1.1,0.1
2016年9月,1,3.1,0.1,1.3,0.5,-2.2,-1.4,0.2,0.5,-2,0.4,1.4,14.1,4.8,1.6,0.9,0.4,0.5,1.5,0,0.9,0.1,-0.3,-0.2,0,0.1,-0.3,0,0,-0.3,0.4,0.5,1.9,0
2016年8月,0.4,1.3,0.1,1.3,0.4,-2.1,-1.2,0.2,0.5,-2,0.5,1.3,15.4,4.7,1.2,-2.8,0.3,0,0.4,0,0,-0.1,-0.2,-0.3,-0.1,0,-0.2,0,0,0.3,0.6,0.2,-1.7,0.1
2016年7月,0.4,2.7,0.1,1.1,0.3,-2,-1,0.2,0.5,-2.2,0.5,1.4,14,4.3,1,-4.7,0.2,0,-0.1,0.1,-0.4,-0.2,-0.1,-0.1,0,0,-0.2,-0.1,0.3,4.9,0.5,0.1,-0.2,0
2016年6月,0.3,3.6,0.1,1.1,0.5,-2,-0.9,0.2,0.4,-2.2,0.7,1.1,6.2,4,1.1,-6.1,0.2,-0.1,-1.2,0,-0.4,0,-0.3,-0.2,0,-0.1,-0.2,0,0.2,0.4,0.8,0.1,2.1,0
2016年5月,0.3,4.7,1.4,1.3,0.6,-1.8,-0.9,0.3,0.4,-2.6,0.8,1,4.6,3.5,1,-8.3,0.2,-0.3,-2.3,0,0.1,0.1,-0.2,-0.2,0,0,-0.3,0,0.2,2,0.4,0,1.9,0.2
2016年4月,0.7,6.1,3,1.3,0.6,-1.7,-0.8,0.2,0.4,-2.4,0.9,0.8,2,3.2,1,-7.4,0,-0.3,-1.3,0,0.1,0.1,-0.2,-0.2,0,0,-0.2,0,0.4,-0.5,0.5,0,0,0.1
2016年3月,0.7,6.4,3,1.5,0.4,-1.5,-0.7,0.2,0.3,-2.6,0.8,0.5,2.8,2.7,1.1,-8.1,-0.1,-0.3,-1.6,0.2,0.5,0,-0.2,-0.1,0,-0.1,-0.1,0,0.1,3.2,0.4,-0.1,-0.4,-0.1
2016年2月,0.9,6.3,2.9,1.8,0.5,-1.4,-0.8,0.2,0.4,-2.5,0.9,0.4,-2.4,2.5,1.3,-4.8,0,1.2,5.7,-0.1,-0.4,-0.1,-0.3,0,0,0.2,-0.1,0,0.1,4.2,0.2,0.1,-0.6,0
2016年1月,0.2,3.6,2.9,1.9,0.4,-1.3,-0.9,0.3,0.2,-2.6,0.8,0.4,-7.1,2.3,1.3,-5.4,0,0.4,1.8,-0.1,-0.4,0,-0.1,-0.1,0,0.1,-0.1,0.1,0.1,1.9,0.5,0.7,-0.3,0.1
2015年12月,0.4,2.6,3,2,0.3,-1.3,-0.4,0.5,0.4,-2.3,0.9,0.5,-6.7,2.9,2.3,-9,-1.5,0.5,1.7,0,0,0.1,-0.1,0,0.1,0,-0.1,0.1,0,-0.9,0.2,0,-1.1,-0.1
2015年11月,0.2,2.2,3,2.2,0.4,-1.3,-0.4,0.5,0.4,-2.3,0.9,0.6,-5.9,3,2.5,-10.3,-1.5,0,0.1,0.1,0.5,0.1,-0.1,0,0.1,0,-0.1,0.1,0,-2.2,0.2,0,-0.6,-0.1
2015年10月,0,1.8,3,2.5,0.4,-1,-0.3,0.5,0.5,-2.2,1,0.5,-5.8,3,2.5,-12.5,-1.2,-0.3,-1.1,0.1,0.6,0.1,-0.1,0,0.1,0,-0.1,0.2,0,0.4,0.3,0,0.3,-0.1
