时间,商品零售价格指数(YOY),食品类商品零售价格指数(YOY),饮料、烟酒类商品零售价格指数(YOY),服装、鞋帽类商品零售价格指数(YOY),纺织品类商品零售价格指数(YOY),家用电器及音像器材类商品零售价格指数(YOY),文化办公用品类商品零售价格指数(YOY),日用品类商品零售价格指数(YOY),体育娱乐用品类商品零售价格指数(YOY),交通、通信用品类商品零售价格指数(YOY),家具类商品零售价格指数(YOY),化妆品类商品零售价格指数(YOY),金银珠宝类商品零售价格指数(YOY),中西药品及医疗保健用品类商品零售价格指数(YOY),书报杂志及电子出版物类商品零售价格指数(YOY),燃料类商品零售价格指数(YOY),建筑材料及五金电料类商品零售价格指数(YOY),商品零售价格指数(上月=100),食品类商品零售价格指数(上月=100),饮料、烟酒类商品零售价格指数(上月=100),服装、鞋帽类商品零售价格指数(上月=100),纺织品类商品零售价格指数(上月=100),家用电器及音像器材类商品零售价格指数(上月=100),文化办公用品类商品零售价格指数(上月=100),日用品类商品零售价格指数(上月=100),体育娱乐用品类商品零售价格指数(上月=100),交通、通信用品类商品零售价格指数(上月=100),家具类商品零售价格指数(上月=100),化妆品类商品零售价格指数(上月=100),金银珠宝类商品零售价格指数(上月=100),中西药品及医疗保健用品类商品零售价格指数(上月=100),书报杂志及电子出版物类商品零售价格指数(上月=100),燃料类商品零售价格指数(上月=100),建筑材料及五金电料类商品零售价格指数(上月=100)
2015年9月,0.1,2.6,3,2.8,0.5,-1.1,-0.3,0.5,0.6,-2.3,1.1,0.5,-7.6,2.9,2.5,-14.2,-1.1,-0.1,-0.1,-0.1,0.9,0.1,-0.2,0,0.1,0,-0.4,0,0,0.4,0.3,0,-1.6,-0.1
2015年8月,0.4,3.6,3,2.9,0.6,-1.1,-0.4,0.6,0.6,-2,1.1,0.6,-9.9,2.7,2.7,-14,-1.1,0.3,1.7,0,-0.2,-0.1,-0.1,0,-0.1,0,-0.4,0,0.1,-0.9,0.2,0,-3.1,-0.1
2015年7月,0.2,2.6,2.9,3,0.5,-1.2,-0.4,0.7,0.6,-1.8,1.2,0.6,-10,2.7,2.7,-12.5,-1,0.1,0.7,0.1,-0.5,0,-0.1,-0.1,0,0.1,-0.2,0.1,0,-2,0.3,0.2,-1.5,-0.3
2015年6月,0,1.7,2.8,2.9,0.5,-1.1,-0.4,0.7,0.6,-1.7,1.1,0.6,-7.3,2.5,2.6,-11.2,-0.8,0,-0.2,1.3,-0.1,0.1,0,-0.1,0,0.1,-0.4,0.1,0.1,-0.9,0.5,0,-0.3,-0.2
2015年5月,-0.1,1.4,1.5,2.8,0.4,-1.1,-0.4,0.7,0.5,-1.3,1.2,0.5,-6.7,2.1,2.6,-10.9,-0.7,-0.1,-1,1.5,0.2,0,-0.1,-0.1,0,0,-0.1,0.1,0,-0.4,0.2,0,2.3,-0.1
2015年4月,0.1,2.7,0,2.9,0.5,-1.1,-0.4,0.7,0.6,-1.3,1.1,0.7,-6.5,2,2.7,-12.6,-0.7,-0.3,-1,0.1,0.5,-0.1,-0.1,-0.1,0,0,-0.2,0.1,0.1,0,0.1,0,-0.7,0
2015年3月,0,2.2,0,3.1,1,-1.1,-0.4,0.7,0.6,-1.2,1.1,0.8,-7.4,1.9,2.7,-12.6,-0.5,-0.4,-1.7,0.1,0.8,0.1,-0.1,-0.1,0.2,0.1,-0.1,0,0,-1.6,0.2,0.1,2.5,-0.2
2015年2月,-0.1,2.3,0,3,0.9,-1.1,-0.3,0.5,0.6,-1.2,1.2,0.8,-3.9,1.8,2.6,-14.2,-0.6,0.9,3,-0.2,-0.3,0,-0.2,-0.1,0,0,-0.1,0,0.2,-0.6,0.1,0.1,-1.1,-0.2
2015年1月,-0.4,1,0.2,3,0.9,-1,-0.3,0.5,0.5,-1.2,1.3,0.7,-2,1.8,2.6,-13.8,-0.4,-0.1,0.6,0,-0.3,0,-0.1,0.1,0.1,0.2,0,0.2,0.1,1.9,0.2,1.8,-4.4,-0.1
2014年12月,0.4,2.9,-0.1,2.7,0.8,-1.2,-0.5,0.5,0.6,-1.1,1.3,0.7,-3.5,1.5,1.2,-9.7,-0.3,0.3,1.3,0,0.1,0.2,0,0.1,0,0,-0.1,0.1,0.1,0,0.3,0.1,-2.5,-0.1
2014年11月,0.4,2.2,-0.1,2.7,0.7,-1.3,-0.6,0.5,0.6,-1,1.4,0.7,-6.5,1.4,1.1,-5.8,0,-0.2,-0.3,0.1,0.9,0.1,0.2,0,0,0,0,0.2,-0.1,-2.2,0.2,0,-3,0.2
2014年10月,0.6,2.4,0,2.4,0.6,-1.6,-0.8,0.5,0.6,-1.2,1.4,0.7,-5.9,1.4,1.2,-3.3,0.1,-0.2,-0.4,0.1,0.9,0.2,-0.2,0,0.1,0.1,-0.1,0.2,0.1,-1.5,0.1,0,-1.6,0
2014年9月,0.7,2.2,0,2.5,0.9,-1.5,-0.8,0.5,0.5,-1.2,1.3,0.7,-6,1.4,1.2,-2.4,0.2,0.2,0.8,-0.1,1,0.1,-0.2,0,0.1,0,-0.1,0,0.1,-2.1,0.1,0.2,-1.4,-0.1
2014年8月,1.2,3,0,2.6,0.9,-1.6,-0.9,0.4,0.5,-1.2,1.4,0.7,-4,1.6,1,0.6,0.3,0.1,0.7,-0.1,-0.1,-0.1,-0.2,-0.1,0,0.1,-0.2,0.2,0,-1,0.2,0.1,-1.4,0
2014年7月,1.6,3.5,0.1,2.6,0.9,-1.5,-1.1,0.5,0.5,-1.2,1.5,0.7,-2.2,1.5,1,3.1,0.4,-0.1,-0.1,0,-0.6,0,-0.1,-0.1,0,0,-0.1,0,0,0.9,0.1,0,0.1,0
2014年6月,1.6,3.6,0.1,2.6,1.1,-1.5,-1.2,0.6,0.6,-1.1,1.7,0.8,-6.6,1.6,1.1,3.5,0.5,-0.2,-0.4,0,-0.2,-0.1,0,-0.1,0,0,0,0.2,0,-0.2,0.1,0,0,-0.1
2014年5月,1.6,4.1,0.1,2.4,1.1,-1.5,-1.2,0.5,0.5,-1.3,1.6,0.8,-8.9,1.8,1.1,3,0.5,0.1,0.2,0,0.2,0.1,0,-0.1,0,0,-0.1,0,0.1,-0.3,0.1,0,0.3,-0.1
2014年4月,0.8,2.1,-0.1,2.2,1,-1.5,-1.3,0.6,0.6,-1.6,1.6,0.8,-10.4,1.9,1.1,1.1,0.6,-0.5,-1.4,0,0.7,0.3,-0.1,0,0,0.1,-0.2,0.1,0.2,-1,0,0,-0.6,0.1
2014年3月,1.2,3.9,-0.2,2.2,0.9,-1.6,-1.3,0.6,0.5,-1.7,1.6,0.9,-12,2.1,1.1,-0.3,0.6,-0.4,-1.7,0.1,0.8,0,-0.1,0,0,0.1,-0.1,0.1,0,2.2,0.1,0.1,0.7,-0.2
2014年2月,0.8,2.4,-0.2,2.2,1.1,-1.5,-1.3,0.6,0.4,-1.9,1.6,0.9,-15,2.1,1.1,0.1,0.8,0.5,1.7,0,-0.4,0,-0.1,-0.1,0.1,-0.2,-0.1,0.2,0.1,1.4,0,0.1,-0.7,0
2014年1月,1.1,3.6,-0.3,1.9,0.8,-1.6,-1.2,0.5,0.6,-1.9,1.5,0.8,-16.8,2.2,1.2,1,1,0.8,2.6,-0.3,-0.6,-0.2,-0.2,-0.1,0,0.3,0,0.1,0.1,0.3,0,0.5,0.1,0.1
2013年12月,1.2,3.9,0,2,0.9,-1.5,-1.1,0.6,0.5,-1.9,1.6,0.8,-17.2,2.1,1,1,1.2,0.3,0.6,0,0.1,0.1,-0.1,-0.1,0.1,0.1,0,0.3,0,-3.1,0.2,0,1.7,0.2
2013年11月,1.7,6,0.1,1.9,1,-1.5,-1.1,0.6,0.4,-2.1,1.3,0.9,-15.3,1.9,1,-1.2,1,-0.1,-0.2,0.1,0.5,0,-0.1,-0.1,0,0,-0.2,0.2,0,-1.6,0.2,0.1,-0.4,0.3
2013年10月,1.9,6.7,0.1,2.3,1.4,-1.4,-1,0.6,0.4,-2.2,1.5,1,-15.1,1.8,0.9,-1.1,0.9,-0.1,-0.5,0.1,1,0.5,-0.1,0,0.1,0.1,-0.1,0.1,0,-1.5,0.2,0.1,-0.7,0.1
2013年9月,1.9,6.2,0.2,2.2,0.9,-1.6,-1.3,0.6,0.4,-2.3,1.3,1.2,-12.9,1.7,0.9,0.7,0.9,0.7,1.6,-0.1,1.2,0.1,-0.3,-0.2,0,0,-0.2,0.1,0.1,0,0.3,0.1,1.6,0.1
2013年8月,1.6,4.7,0.3,2.2,0.8,-1.6,-1.2,0.6,0.5,-2.4,1.4,1.1,-9.6,1.4,1.4,1.9,0.7,0.5,1.3,0.1,-0.1,-0.1,-0.1,-0.3,0.1,0.1,-0.1,0.2,0,0.9,0.2,0.1,1,0.1
2013年7月,1.7,5.1,0.4,2.1,1,-1.7,-1.1,0.7,0.6,-2.6,1.2,1.3,-10.2,1.3,1.4,2.4,0.4,-0.1,0,0,-0.6,0.2,0,-0.1,0.1,0.2,0,0.2,0.1,-3.7,0.2,0,0.4,0
2013年6月,1.4,5,0.5,2.2,1.2,-1.8,-1.3,0.7,0.6,-2.9,1.1,1.5,-6.9,1.2,1.4,-0.6,0.3,-0.1,0,0,-0.4,-0.1,0,-0.2,0,-0.1,-0.2,0.1,0.1,-2.6,0.2,0,-0.4,-0.1
2013年5月,0.7,3.3,0.7,2.5,1.3,-1.9,-1.3,0.9,0.9,-3,1.2,1.6,-4.5,0.9,1.5,-4,0.2,-0.7,-1.7,-0.1,0,0.1,-0.1,-0.1,0.1,0.1,-0.3,0,0.1,-2,0.2,0.1,-1.6,0
2013年4月,0.9,4.1,1.1,2.5,1.1,-1.9,-1.4,1,0.9,-3.1,1.1,1.9,-4.1,0.9,1.5,-4.4,0.1,0,0.4,-0.1,0.7,0.2,-0.1,0,0.1,0,-0.3,0.1,0.3,-2.7,0.2,0,-1.9,0.1
2013年3月,0.8,2.6,1.4,2.3,0.9,-1.9,-1.7,1.2,0.9,-3.3,1.1,2.3,-2.1,0.9,1.4,-0.4,0.1,-0.9,-3.1,0.1,0.7,0.2,-0.1,0,0,0,-0.3,0,0,-1.3,0.2,0.1,1,0
2013年2月,2.1,6.2,1.5,2.1,0.4,-2.1,-1.8,1.2,1,-3.3,1,2.2,-1.4,0.9,1.4,1.7,0.1,0.8,2.8,-0.1,-0.7,-0.3,-0.2,0,-0.1,0,-0.1,0.1,0,-0.8,0.1,0.2,0.2,0.2
2013年1月,1.3,2.8,1.9,2.4,1.2,-1.9,-1.9,1.5,1.1,-3.4,0.9,2.3,2,0.9,1.5,3,-0.2,0.9,2.9,0,-0.4,-0.1,-0.2,0,0.1,0.2,-0.1,0.2,0.1,-0.3,-0.1,0.3,0.2,0.2
2012年12月,1.5,4.2,2.1,1.7,0.9,-1.9,-2,1.3,0.9,-3.6,1.1,2.3,0.3,1,1.6,3,-0.2,0.7,2.7,0.2,0,0.3,-0.1,-0.1,0,0,-0.2,0,0.1,-0.9,0,0,-0.5,0
2012年11月,1.1,2.8,2.2,2,0.5,-2.2,-2,1.3,0.9,-3.7,0.8,2.3,-1.3,1.2,1.6,3.7,-0.4,0.2,0.4,0.1,1,0.3,0.1,0,0,0,-0.3,0.4,0.2,-1.4,0.1,0,-0.3,0.2
2012年10月,0.9,1.7,2.4,2.5,0.7,-2.1,-1.8,1.5,1,-3.7,0.7,2.3,1.5,1.2,1.7,3.7,-0.6,-0.1,-0.9,0.2,0.9,0.1,-0.4,-0.2,0.1,0,-0.2,0,0.1,1.1,0,0,1.1,0.2
2012年9月,0.9,2.3,2.7,3.2,0.9,-2.1,-1.8,1.6,1.1,-3.8,0.9,2.3,-3.4,1.3,1.7,1.6,-1.1,0.4,0.1,0.1,1.2,0,-0.3,-0.1,0.1,0.2,-0.3,0.1,0.1,3.8,0,0.5,2.8,-0.1
2012年8月,1,3.4,3.3,2.9,1.2,-2.3,-1.8,1.9,1,-3.9,0.9,2.4,-5.5,1.4,1.4,-1,-0.7,0.6,1.7,0.1,-0.2,0.1,-0.3,-0.2,0.2,0.2,-0.3,0.1,0.2,0.3,0,0.1,1.5,-0.2
2012年7月,0.8,2.3,3.4,3.1,1.3,-2.2,-1.8,2,1,-3.9,1.1,2.6,-1.3,1.8,1.3,-2.3,-0.2,-0.3,-0.2,0.1,-0.6,0.4,-0.2,-0.3,0.1,0.1,-0.3,0,0.3,-0.1,0.1,0,-2.5,-0.1
2012年6月,1.4,3.7,3.5,3.1,1.2,-2.2,-1.8,2.2,0.9,-4,1.2,2.4,-0.7,2.3,1.3,0,0,-0.8,-1.6,0.2,0,0,-0.1,-0.2,0.2,0.2,-0.3,0.1,0.2,-0.1,0,0.1,-3.8,-0.2
2012年5月,2.5,6.4,3.7,2.9,1.4,-2.3,-1.8,2.3,0.8,-4.1,1.3,2.4,-0.1,2.8,1.2,3.2,0.5,-0.5,-0.9,0.2,0,-0.1,-0.1,-0.2,0.2,0,-0.4,0,0.4,-1.6,0.2,0,-2,-0.1
2012年4月,3.1,7,3.8,3.4,2,-2.4,-1.8,2.4,0.9,-4.1,1.6,2.1,3.6,3.1,1.2,6.3,1.1,-0.1,-1.1,0.3,0.5,-0.1,-0.2,-0.3,0.2,0,-0.5,0.1,0.6,-0.7,0.2,0,2.1,0.1
2012年3月,3.5,7.6,4,3.5,2.7,-2.4,-1.7,2.7,0.9,-4.1,1.8,1.8,6.4,3.2,1.2,7.4,1.5,0.3,0.2,0.2,0.5,-0.2,-0.2,-0.1,0.1,0.1,-0.2,-0.1,-0.1,-0.6,0.2,0.1,3.1,0
2012年2月,2.9,5.9,4.1,3.6,3.1,-2.6,-1.9,2.9,1,-4.2,2.1,1.8,8.4,3.1,1.3,5.4,1.6,0,-0.4,0.2,-0.3,0.5,0,-0.1,0.2,0,-0.2,0.1,0.2,2.7,0.2,0.2,1.5,-0.1
2012年1月,4.1,10.6,4.1,3.2,2.6,-2.7,-2,2.9,1.2,-4.4,2.3,1.7,6,3.2,1.2,4.4,2.1,1.2,4.3,0.2,-1.1,-0.4,-0.2,0,0,0,-0.2,0.3,0.1,-1.9,0,0.4,0.1,0.1
2011年12月,3.8,9.1,4.2,3.7,3.3,-2.9,-2.1,3,1.2,-4.1,2.2,1.6,8.5,3.4,1.1,6,2.3,0.4,1.3,0.4,0.2,-0.1,-0.4,-0.1,0,0,-0.3,-0.3,0,-2.5,0.1,0,0.2,-0.1
2011年11月,4,8.7,4.2,3.4,4.8,-2.8,-2.2,3.1,1.2,-3.8,2.8,1.6,12.3,3.7,1,7.2,3.3,-0.1,-0.8,0.3,1.5,0.5,0.1,0.1,0.2,0.1,-0.2,0.3,0.2,1.4,0.1,0,-0.4,-0.1
2011年10月,5.3,11.9,4.2,3.5,6.3,-2.9,-2.4,3.2,1.2,-3.9,3.1,1.6,12.9,4.2,1,11.4,4.5,-0.1,-0.2,0.5,1.6,0.3,-0.4,-0.2,0.3,0,-0.3,0.2,0.2,-3.8,0.1,0.1,-0.9,-0.2
2011年9月,6,13.5,3.9,2.9,6.8,-3,-2.5,3,1.3,-3.9,3,1.7,20.7,4.6,0.9,13.7,5.6,0.5,1.2,0.6,0.9,0.2,-0.4,-0.1,0.3,0.1,-0.4,0.1,0.2,1.5,0.2,0.1,0.3,0.2
2011年8月,6,13.5,3.5,2.7,6.7,-3,-2.6,2.8,1.2,-3.8,3,1.6,20.4,4.7,0.8,14,6.1,0.3,0.6,0.2,0,0.2,-0.2,-0.2,0.3,0.2,-0.3,0.3,0.3,4.8,0.5,0.1,0.1,0.3
2011年7月,6.1,14.9,3.5,1.9,6.5,-3.1,-2.7,2.5,1,-3.9,2.7,1.2,14.5,4.5,0.7,13.9,6.1,0.3,1.2,0.2,-0.6,0.2,-0.2,-0.2,0.3,0,-0.4,0.1,0.1,0.5,0.5,0,-0.2,0.1
2011年6月,5.8,14.6,3.4,1.7,6.4,-3.1,-2.6,2.3,1,-3.9,2.4,1.4,13.7,3.9,0.7,13.5,5.9,0.2,0.9,0.3,-0.2,0.2,-0.1,-0.2,0.3,0.1,-0.5,0.3,0.2,0.5,0.5,0,-0.7,0.3
2011年5月,4.9,11.8,3.1,1.4,6,-2.9,-2.6,2,0.8,-3.8,2.2,1.2,14.4,3.6,0.7,12.3,5.5,0.1,-0.4,0.4,0.5,0.6,-0.2,-0.2,0.3,0.1,-0.5,0.2,0.1,2,0.4,0,1,0.5
2011年4月,4.7,11.5,2.8,1.1,5.9,-3.3,-2.6,1.8,0.8,-3.8,2,1.2,14.9,3.5,0.7,12.5,5.1,0.2,-0.5,0.4,0.6,0.5,-0.2,-0.2,0.4,0,-0.4,0.3,0.2,2,0.3,0,3.2,0.6
2011年3月,4.6,11.8,2.4,0.5,5.6,-3.5,-2.5,1.5,0.6,-3.9,1.7,1,14.2,3.5,0.6,11,5.5
2011年2月,4.3,11.4,2.3,0.1,5.7,-3.4,-2.3,1.2,0.3,-3.9,1.2,1.1,13.2,3.6,0.7,9.3,5.7
2011年1月,3.7,10.4,2.1,-0.8,5,-3.9,-2.2,0.9,0.2,-3.9,1.1,0.7,12.4,3.6,0.8,8.8,5.3
2010年12月,4.1,10.1,2.2,-0.7,5.3,-3.3,-1.9,0.8,-1.8,-4,1,0.7,13.3,5.2,0.9,8.3,6.1
2010年11月,4.7,12.3,1.9,-1,4,-3.3,-1.9,0.6,-1.8,-4,0.8,0.7,14.5,5.5,0.8,9,5.4
2010年10月,3.9,10.5,1.7,-1.7,2.2,-3.4,-1.9,0.5,-1.8,-4,0.3,0.7,15.6,5.1,0.8,8.5,4.5
2010年9月,3,8.4,1.6,-1.8,1.2,-3.3,-1.8,0.5,-1.8,-4.2,0.2,0.5,14.9,4.6,0.8,6.9,3.9
2010年8月,3,7.9,1.7,-1.4,1,-3.2,-1.9,0.4,-1.8,-4.1,0.3,0.4,15.5,4.4,1.6,9.6,3
2010年7月,2.8,7.1,1.7,-0.9,0.9,-3.4,-1.9,0.4,-1.7,-4.1,0,0.3,16.2,4.3,1.5,9.4,3.1
2010年6月,2.7,5.9,1.6,-1.1,0.4,-3.8,-2,0.4,-1.6,-4.3,0,0.2,15.9,4.3,1.6,14.5,3.6
2010年5月,3.1,6.4,1.6,-1.2,0.2,-4.2,-2.2,0.2,-1.6,-4.4,0,0.2,16.1,4.3,1.8,19.2,3.9
2010年4月,2.8,6.4,1.6,-1.4,-0.1,-4.4,-2.5,0.1,-1.6,-4.6,-0.1,0,13.5,3.9,1.4,17.3,3.8
2010年3月,2.3,5.6,1.6,-1.2,-0.2,-4.7,-2.7,-0.1,-1.6,-4.7,-0.1,0.2,11.2,3.6,1.4,16.2,2.3
2010年2月,2.5,6.7,1.5,-1.5,-0.4,-4.9,-2.9,-0.3,-1.7,-4.8,-0.5,0.1,11.8,3.3,1.5,16.3,1.2
2010年1月,1.8,4.2,1.5,-0.4,0.2,-4.9,-3.2,-0.2,-1.6,-5.1,-0.6,0.4,14.9,3.1,1.3,14.8,0.9
2009年12月,1.4,5.7,1.3,-0.9,-0.5,-5.5,-3.4,-0.1,-1.7,-5.2,-0.8,0.3,14.7,2.6,3.6,3,0.5
2009年11月,0,3.4,1.3,-1.2,-0.6,-6,-3.6,0,-2,-5.7,-1.2,0.2,10.7,1.8,3.8,-3.6,-0.2
2009年10月,-1.3,1.7,1.2,-1.6,-1,-6.4,-3.8,0.2,-2.1,-6.1,-1.7,0.2,2,1.4,4.2,-9.3,-1.8
2009年9月,-1.5,1.7,1.3,-1.8,-0.9,-6.4,-4,0.7,-2.1,-6.6,-1.4,0.4,-2.6,1.3,4.4,-9.6,-3.8
2009年8月,-2,0.6,1.4,-2.2,-0.8,-6.6,-4,1.2,-2.4,-6.8,-1.5,0.7,-7.1,1.2,4.4,-11.4,-3.8
2009年7月,-2.5,-1.1,1.4,-2.4,-0.7,-6.4,-4,1.7,-2.5,-6.7,-0.8,0.9,-10.2,1.3,5,-11.5,-4
2009年6月,-2.3,-0.9,1.5,-2.6,-0.3,-6.2,-4.1,2.1,-2.5,-6.7,-0.2,1,-9.3,1.5,5.3,-10.4,-3.6
2009年5月,-1.9,-0.5,1.6,-2.5,0.1,-6.1,-3.9,2.5,-2.4,-6.6,0,1.1,-10.7,1.3,5.3,-8.5,-2.9
2009年4月,-1.9,-1.3,1.8,-2.4,-0.2,-5.7,-3.8,3,-2.2,-6.4,0,1.3,-12.1,1.4,5.7,-6.7,-1.9
2009年3月,-1.5,-0.6,2.1,-2.4,-0.2,-5,-3.6,3.8,-2.2,-6.4,0.3,1.2,-11.8,1.5,5.9,-7.1,-0.7
2009年2月,-1.6,-2,2.3,-2.3,0.1,-4.5,-3.7,4.4,-2.2,-6.2,1.5,1.2,-6.8,1.6,6.2,-6.4,1.5
2009年1月,0.7,4.1,2.9,-2.8,-0.3,-4.2,-3.3,4.7,-2.5,-6.2,1.8,1.2,-4.1,1.6,6.4,-4.9,2.5
2008年12月,1.4,4,3.5,-2.3,0.2,-4,-3,5,-2.4,-6.5,2,1.3,-1.7,1.6,3.9,5.5,2.9
2008年11月,2.7,5.9,3.8,-1.7,0.5,-3.6,-3,5.1,-2.3,-6.4,2.7,1.4,0.4,2.1,3.7,11,4.4
2008年10月,4.6,8.5,4,-1.5,0.9,-3.2,-3.1,5,-2.3,-6.2,3.4,1.4,10.3,2.4,3.4,22.3,6.7
2008年9月,5.3,9.8,4,-1.4,0.8,-3.2,-2.9,4.5,-2.2,-6.1,3.1,1,15.5,2.5,3.1,24.7,9.4
2008年8月,5.5,10.4,3.7,-1.3,0.9,-2.8,-2.9,4.2,-2,-6.2,3.4,0.8,20.5,2.6,1.8,23.9,10.6
2008年7月,6.8,14.5,3.6,-1.7,0.6,-2.9,-3.1,4,-2,-6.4,2.9,0.6,24.2,2.7,1.1,24.5,10.7
2008年6月,7.1,17.2,3.5,-1.6,0.4,-2.8,-3.3,3.7,-2.2,-6.7,2.4,0.5,23.2,3.1,0.8,18.8,10.2
2008年5月,7.5,19.9,3.4,-1.6,0.4,-2.8,-3.3,3.5,-2.2,-7,2.3,0.5,23.2,3.5,0.6,14.3,9.3
2008年4月,8.1,22.1,3.2,-1.5,0.5,-2.8,-3.5,3,-2.5,-7.3,2.4,0.2,26,4,0.5,13.2,8.8
2008年3月,7.8,21.4,3.1,-1.4,0.5,-2.9,-3.6,2.5,-2.5,-7.5,2.3,0.1,27.6,4.2,0.3,13.1,8.4
2008年2月,8.1,23.5,2.8,-1.6,0.6,-3.1,-3.5,2.2,-2.5,-7.8,1.9,0.2,20.6,4.1,-0.2,12.1,6.9
2008年1月,6.2,18.3,2.4,-2,0.1,-3.2,-3.6,1.7,-2.5,-7.8,1.8,0,15.2,4.1,-0.4,10.3,6.3
2007年12月,5.6,16.9,1.9,-1.8,0.1,-3,-3.5,1.6,-2.7,-7.5,1.7,0,11.8,4,-0.3,9,6.3
2007年11月,6,18.4,1.9,-1.6,0.1,-2.9,-3.4,1.5,-2.6,-7.5,1.7,-0.1,11.5,3.7,-0.2,9.4,5.6
2007年10月,5.3,17.8,1.8,-1.5,-0.1,-2.8,-3.3,1.4,-2.5,-7.3,1.5,-0.1,7.4,3.5,-0.2,2.1,5.1
2007年9月,4.9,16.9,1.8,-1.1,0.2,-2.8,-3.3,1.3,-2.8,-7.1,1.8,0.2,4.1,3.3,-0.2,0.6,4.9
2007年8月,5.2,18.1,1.8,-0.8,0.1,-3,-3.3,1.2,-2.8,-7.1,1.8,0,2,2.8,-0.5,1.2,4.6
2007年7月,4.4,15.3,1.8,-0.5,0.3,-2.9,-3,1,-2.7,-7.3,1.6,0.2,2.4,2.5,-0.4,1.8,4.4
2007年6月,3.2,11.3,1.8,-0.2,0.4,-2.7,-2.8,0.8,-2.5,-7.4,1.8,0.2,2.6,1.9,-0.3,1.4,4.1
2007年5月,2.4,8.1,1.8,-0.2,0.3,-2.2,-2.9,0.8,-2.7,-7.3,1.7,0.3,2.3,1.3,-0.3,3.7,4.7
2007年4月,2.2,6.9,1.8,-0.2,0.4,-2,-2.8,0.9,-2.6,-7.3,1.6,0.4,9.9,0.6,-0.4,4.4,5.1
2007年3月,2.5,7.7,1.7,-0.2,0.4,-2.2,-2.6,0.9,-2.6,-7.3,1.5,0.4,13.6,0,-0.3,5.4,5.4
2007年2月,1.9,5.8,1.8,0.2,-0.1,-2.3,-2.5,0.9,-2.7,-7.3,1.2,0.3,13.8,-0.1,-0.3,5.3,5.5
2007年1月,1.8,4.9,1.7,0.5,0.9,-2.2,-2.4,1.1,-2.5,-7.3,1.4,0.4,15.5,-0.1,-0.1,6.3,5.4
2006年12月,2.4,6.2,1.6,0.3,0.6,-2.3,-2.5,0.8,-1.8,-7.5,1.5,0.3,18.6,-0.2,-0.2,9,5.1
2006年11月,1.5,3.7,1.1,0.3,0.5,-2.2,-2.5,0.9,-1.7,-7.3,1.2,0.1,21.5,-0.3,-0.2,8.3,4.8
2006年10月,1.1,2.3,1,0.2,0.3,-2.3,-2.5,1,-1.7,-7.5,0.9,0,22.1,-0.5,-0.2,9.7,4.3
2006年9月,1.2,2.5,0.8,-0.1,0.4,-2.3,-2.4,0.9,-1.5,-7.7,0.7,-0.1,24.1,-0.6,-0.2,11.6,4
2006年8月,0.9,1.5,0.8,0,0.2,-2.3,-2.3,0.9,-1.5,-7.8,0.3,0,25.8,-0.5,0.3,11.7,3.6
2006年7月,0.7,0.8,0.7,0,0.1,-2.5,-2.4,0.7,-1.6,-7.9,0.1,-0.1,25.3,-0.6,0.4,13.7,3.5
2006年6月,1.3,2.5,0.6,0,0,-2.8,-2.2,0.8,-1.5,-7.8,-0.2,-0.1,25.6,-0.8,0.4,16.5,3.4
2006年5月,1,2.3,0.5,0,-0.2,-3.3,-2.2,0.7,-1.3,-7.8,-0.3,-0.2,26.2,-1.1,0.4,13.4,2.6
2006年4月,0.6,2.1,0.5,-0.1,-0.4,-3.5,-2.1,0.7,-1.2,-7.8,-0.5,-0.5,16.5,-1.2,0.4,12.9,1.5
2006年3月,0.2,1.1,0.4,-0.3,-0.4,-3.1,-2.4,0.7,-1.3,-7.7,-0.7,-0.5,11.6,-1.3,0.4,13.2,1
2006年2月,0.4,1.6,0.3,-1.2,-0.3,-3,-2.5,0.7,-1.2,-7.5,-0.8,-0.5,10.5,-1.5,0.4,14.7,1.1
2006年1月,1,4.1,0.2,-1.6,-0.7,-3,-2.5,0.6,-1.7,-7.9,-1.1,-0.4,8,-1.6,0.4,14.8,1.1
2005年12月,0.9,2.6,0.3,-0.7,-0.2,-2.6,-2.7,0.7,-1.6,-6.9,-1,-0.5,5.8,-1.9,0.4,14.1,2.4
2005年11月,0.6,1.8,0.3,-0.8,-0.2,-2.8,-3.1,0.6,-1.6,-7.1,-0.9,-0.6,4.5,-1.9,0.4,13.2,2.4
2005年10月,0.4,1.5,0.4,-1,0,-2.9,-3.1,0.4,-1.9,-7.4,-1,-0.6,4.5,-1.9,0.4,12.9,2.3
