日期,Date
社会消费品零售总额当期值(亿元)	Retail Sales (CNY 100M)
社会消费品零售总额累计值(亿元)	Retail Sales Tot Per Annu (CNY 100M)
社会消费品零售总额同比增长(%)	Retail Sales Y%Y
社会消费品零售总额累计增长(%)	Retail Sales Tot Growth Per Annum (%)
限上单位消费品零售额当期值(亿元)	Above Threshold Retail Sales (CNY 100M)
限上单位消费品零售额累计值(亿元)	Above Threshold Retail Sales Tot Per Annum (CNY 100M)
限上单位消费品零售额同比增长(%)	Above Threshold Retail Sales Y%Y
限上单位消费品零售额累计增长(%)	Above Threshold Retail Sales Tot Growth Per Annum (%)
城镇社会消费品零售总额当期值(亿元)	Urban Retail Sales (CNY 100M)
城镇社会消费品零售总额累计值(亿元)	Urban Retail Sales Tot Per Annum (CNY 100M)
城镇社会消费品零售总额同比增长(%)	Urban Retail Sales Y%Y
城镇社会消费品零售总额累计增长(%)	Urban Retail Sales Tot Growth Per Annum (%)
乡村社会消费品零售总额当期值(亿元)	Rural Retail Sales (CNY 100M)
乡村社会消费品零售总额累计值(亿元)	Rural Retail Sales Tot Per Annum (CNY 100M)
乡村社会消费品零售总额同比增长(%)	Rural Retail Sales Y%Y
乡村社会消费品零售总额累计增长(%)	Rural Retail Sales Tot Growth Per Annum (%)
餐饮收入当期值(亿元)	Restraurant Revenue Value (CNY 100M)
餐饮收入累计值(亿元)	Restraurant Revenue Tot Per Annum (CNY 100M)
餐饮收入同比增长(%)	Restraurant Revenue Y%Y
餐饮收入累计增长(%)	Restraurant Revenue Tot Growth Per Annum (%)
限上单位餐饮收入当期值(亿元)	Over Threshold Restraurant Revenue Value (CNY 100M)
限上单位餐饮收入累计值(亿元)	Over Threshold Restraurant Revenue Tot Per Annum (CNY 100M)
限上单位餐饮收入同比增长(%)	Over Threshold Restraurant Revenue Y%Y
限上单位餐饮收入累计增长(%)	Over Threshold Restraurant Revenue Tot Growth Per Annum (%)
商品零售当期值(亿元)	Goods Retail Sales (CNY 100M)
商品零售累计值(亿元)	Goods Retail Sales Tot Per Annum (CNY 100M)
商品零售同比增长(%)	Goods Retail Sales Y%Y
商品零售累计增长(%)	Goods Retail Sales Tot Growth Per Annum (%)
限上单位商品零售类值当期值(亿元)	Over Threshold Good Retail Sales (CNY 100M)
限上单位商品零售类值累计值(亿元)	Over Threshold Good Retail Sales Tot Per Annum (CNY 100M)
限上单位商品零售类值同比增长(%)	Over Threshold Good Retail Sales Y%Y
限上单位商品零售类值累计增长(%)	Over Threshold Good Retail Sales Tot Growth Per Annum (%)
限额以上超市零售额累计增长(%)	Over Threshold Supermarket Retail Sales Tot Growth Per Annum (%)
限额以上百货店零售额累计增长(%)	Over Threshold Department Store Retail Sales Tot Growth Per Annum (%)
限额以上专业店零售额累计增长(%)	Over Threshold Specialty Store Retail Sales Tot Growth Per Annum (%)
限额以上专卖店零售额累计增长(%)	Over Threshold Exclusive Store Retail Sales Tot Growth Per Annum (%)
限额以上便利店零售额累计增长(%)	Over Threshold Convenient Store Retail Sales Tot Growth Per Annum (%)
网上零售额累计值(亿元)	Online Retail Sales Tot Per Annum (CNY 100M)
网上零售额累计增长(%)	Online Retail Sales Tot Growth Per Annum (%)
实物商品网上零售额累计值(亿元)	Physical Goods Online Retail Sales Tot Per Annum (CNY 100M)
实物商品网上零售额累计增长(%)	Physical Goods Online Retail Sales Tot Growth Per Annum (%)
吃类实物商品网上零售额累计增长(%)	Physical Goods (food) Online Retail Sales Tot Growth Per Annum (%)
穿类实物商品网上零售额累计增长(%)	Physical Goods (apparel) Online Retail Sales Tot Growth Per Annum (%)
用类实物商品网上零售额累计增长(%)	Physical Goods (others) Online Retail Sales Tot Growth Per Annum (%)