,Date,工业生产者出厂价格指数 MoM,煤炭开采和洗选业工业生产者出厂价格指数 MoM,石油和天然气开采业工业生产者出厂价格指数 MoM,黑色金属矿采选业工业生产者出厂价格指数 MoM,有色金属矿采选业工业生产者出厂价格指数 MoM,非金属矿采选业工业生产者出厂价格指数 MoM,开采专业及辅助性活动工业生产者出厂价格指数 MoM,农副食品加工业工业生产者出厂价格指数 MoM,食品制造业工业生产者出厂价格指数 MoM,酒、饮料及精制茶制造业工业生产者出厂价格指数 MoM,烟草制品业工业生产者出厂价格指数 MoM,纺织业工业生产者出厂价格指数 MoM,纺织服装、服饰业工业生产者出厂价格指数 MoM,皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数 MoM,木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数 MoM,家具制造业工业生产者出厂价格指数 MoM,造纸和纸制品业工业生产者出厂价格指数 MoM,印刷和记录媒介复制业工业生产者出厂价格指数 MoM,文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数 MoM,石油、煤炭及其他燃料加工业工业生产者出厂价格指数 MoM,化学原料和化学制品制造业工业生产者出厂价格指数 MoM,医药制造业工业生产者出厂价格指数 MoM,化学纤维制造业工业生产者出厂价格指数 MoM,橡胶和塑料制品业工业生产者出厂价格指数 MoM,非金属矿物制品业工业生产者出厂价格指数 MoM,黑色金属冶炼和压延加工业工业生产者出厂价格指数 MoM,有色金属冶炼和压延加工业工业生产者出厂价格指数 MoM,金属制品业工业生产者出厂价格指数 MoM,通用设备制造业工业生产者出厂价格指数 MoM,专用设备制造业工业生产者出厂价格指数 MoM,汽车制造业工业生产者出厂价格指数 MoM,铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数 MoM,电气机械和器材制造业工业生产者出厂价格指数 MoM,计算机、通信和其他电子设备制造业工业生产者出厂价格指数 MoM,仪器仪表制造业工业生产者出厂价格指数 MoM,其他制造业工业生产者出厂价格指数 MoM,废弃资源综合利用业工业生产者出厂价格指数 MoM,金属制品、机械和设备修理业工业生产者出厂价格指数 MoM,电力、热力生产和供应业工业生产者出厂价格指数 MoM,燃气生产和供应业工业生产者出厂价格指数 MoM,水的生产和供应业工业生产者出厂价格指数 MoM,其他采矿业工业生产者出厂价格指数 MoM
0,2020-01-01,0.0,-0.6,4.3,0.0,0.4,0.1,-0.3,-0.2,0.1,0.0,0.1,0.0,0.1,-0.3,-0.1,-0.1,0.2,0.0,0.5,1.8,-0.4,-0.1,-0.1,-0.1,-0.1,-0.6,0.6,0.0,-0.1,0.1,0.2,-0.3,-0.4,-0.2,-0.2,-0.2,0.1,1.8,0.1,1.0,0.1,
1,2020-02-01,-0.5,0.0,-11.0,0.0,0.4,0.4,-1.1,0.2,-0.3,0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,0.0,-0.2,0.3,-4.4,-0.5,0.3,-0.6,-0.2,-0.3,-1.4,-1.5,-0.2,0.0,-0.1,0.0,0.3,-0.3,-0.3,0.1,0.0,-0.9,0.0,-0.2,-1.1,-0.1,
2,2020-03-01,-1.0,0.3,-17.0,0.4,-1.3,-0.1,0.4,-0.5,0.1,-0.2,0.4,-0.3,-0.5,-0.1,-0.1,-0.1,0.9,0.1,-1.0,-7.8,-1.4,0.0,-1.9,-0.5,-0.9,-1.9,-3.5,-0.3,-0.1,0.2,-0.1,-0.1,-0.5,0.3,-0.3,0.4,-3.8,0.0,-0.4,-2.6,-0.4,
3,2020-04-01,-1.3,-2.3,-35.7,-0.8,-0.2,-0.1,-0.2,-0.2,-0.1,0.0,0.0,-1.3,-0.3,-0.3,-0.4,0.1,-2.3,-0.2,0.4,-9.0,-3.0,0.3,-5.2,-0.6,-1.4,-1.6,-2.2,-0.1,-0.1,-0.1,-0.1,0.1,-1.1,0.3,0.3,0.1,-2.6,0.7,-0.4,-3.8,-0.1,
4,2020-05-01,-0.4,-2.9,-9.1,0.1,1.6,0.6,0.2,-0.8,0.1,0.1,0.0,-0.9,0.0,0.0,0.0,-0.2,-2.0,-0.2,1.0,-4.0,-1.2,0.0,-1.1,-0.3,-0.3,0.0,1.6,-0.1,-0.1,-0.2,-0.1,0.1,-0.3,-0.1,0.1,0.0,0.0,0.0,-0.4,-1.0,0.0,
5,2020-06-01,0.4,-0.7,38.2,2.9,1.2,0.1,0.0,0.4,0.1,0.2,0.0,-0.8,-0.2,-0.2,-0.3,0.0,-0.6,-0.6,0.7,1.7,0.4,0.0,0.3,0.1,-0.3,1.9,1.9,0.2,-0.1,0.1,-0.1,0.0,0.2,0.1,0.1,0.2,1.5,0.5,-0.3,-1.4,0.0,
6,2020-07-01,0.4,0.6,12.0,2.7,2.5,-0.3,0.4,1.0,0.0,0.2,0.1,-0.7,-0.2,-0.3,0.0,0.1,0.8,-0.4,0.5,3.4,-0.1,-0.1,-1.6,-0.3,-0.8,1.1,3.1,0.1,0.0,-0.1,0.1,0.0,0.2,-0.3,-0.1,-0.2,3.1,0.1,-0.3,0.2,0.1,
7,2020-08-01,0.3,-0.9,3.6,4.3,3.1,-0.3,-0.5,0.6,0.0,0.0,0.0,-0.4,-0.2,-0.2,0.1,-0.1,0.4,0.1,1.8,1.2,-0.2,0.0,-1.2,-0.2,-0.4,1.5,3.0,0.1,-0.1,-0.1,-0.1,0.1,0.4,-0.4,-0.4,0.3,1.4,0.0,-0.3,-0.2,0.1,
8,2020-09-01,0.1,0.3,-2.3,3.1,0.6,0.7,-0.7,0.2,0.0,0.1,0.0,-0.5,-0.1,-0.3,0.0,-0.1,0.1,0.0,-0.8,-0.5,0.9,-0.1,-1.2,-0.1,0.4,1.3,0.7,0.2,-0.2,-0.1,0.1,-0.1,0.0,-0.7,0.3,-0.1,1.5,-0.5,-0.2,-0.2,0.0,
9,2020-10-01,0.0,2.1,-4.9,0.7,-0.3,0.1,-1.1,-0.1,0.0,-0.1,0.1,0.3,0.0,-0.1,0.0,-0.1,0.3,-0.2,-0.6,-1.6,1.1,-0.1,1.0,0.0,0.3,-0.1,-0.3,0.1,0.0,-0.1,-0.1,-0.3,0.0,-0.2,0.0,-0.1,0.8,0.0,0.0,0.4,0.0,
10,2020-11-01,0.5,2.2,0.9,0.0,-0.4,0.3,-0.1,0.8,0.4,0.3,0.0,0.5,0.0,-0.1,0.0,0.1,0.5,-0.3,-0.3,1.7,2.2,0.1,1.9,0.3,0.7,1.5,1.1,0.1,0.0,-0.1,-0.1,0.2,0.0,-0.4,0.1,0.2,0.8,-0.5,0.3,2.8,0.0,
11,2020-12-01,1.1,3.5,7.9,3.3,0.7,0.3,-0.2,1.0,0.0,0.2,0.0,0.2,0.0,-0.3,0.2,-0.1,0.2,0.0,0.2,5.3,2.3,0.1,1.5,0.8,0.4,3.3,3.9,0.6,0.0,0.0,-0.2,0.0,0.6,-0.1,-0.1,0.1,2.2,0.2,0.7,4.1,0.0,
12,2021-01-01,1.0,6.4,8.2,4.9,1.8,0.4,-0.2,1.6,-0.1,0.3,0.0,0.5,-0.3,0.0,0.4,0.0,0.8,-0.1,0.2,5.3,1.0,-0.1,3.6,0.4,0.1,3.8,0.9,0.6,0.2,-0.1,0.0,0.0,0.2,-0.2,-0.1,-0.2,3.1,0.1,-0.2,3.9,0.3,
13,2021-02-01,0.8,1.6,7.5,5.9,0.3,0.1,-1.1,0.9,0.2,0.4,0.0,0.8,0.0,0.1,0.3,-0.2,1.6,0.1,-0.5,4.9,2.1,0.1,3.6,0.3,-0.4,2.3,1.5,0.6,0.0,0.0,-0.2,-0.1,0.2,-0.3,0.0,-0.5,1.0,-0.2,0.2,-0.7,0.3,
14,2021-03-01,1.6,-3.1,9.8,4.4,1.1,0.0,0.4,0.2,0.4,0.3,0.1,1.9,0.3,0.2,0.0,0.1,2.3,0.5,-0.4,5.7,5.3,-0.1,8.7,1.1,-0.1,4.7,4.5,1.2,0.4,0.2,0.0,0.1,0.8,0.4,0.1,0.1,3.9,-0.3,0.2,-1.6,0.0,
15,2021-04-01,0.9,2.8,0.4,2.2,1.4,0.2,-0.3,-0.8,0.5,-0.1,0.0,0.6,0.0,0.3,-0.1,0.3,0.3,0.1,0.9,-0.9,2.1,0.0,1.0,0.7,1.0,5.6,2.1,1.4,0.4,0.0,-0.1,0.2,0.9,0.7,-0.1,0.5,2.2,0.3,-0.2,-3.3,0.0,
16,2021-05-01,1.6,10.6,1.7,7.4,2.2,1.1,-0.4,-0.2,0.4,0.2,0.1,0.4,-0.1,0.2,0.3,0.0,0.4,0.9,1.0,4.4,1.8,0.1,-0.9,0.2,1.3,6.4,4.4,1.6,0.3,0.3,0.0,0.3,1.3,0.5,0.0,0.5,4.5,0.3,-0.3,-1.1,0.2,
17,2021-06-01,0.3,5.2,2.5,5.4,1.6,0.5,-0.3,-0.9,0.0,0.1,0.2,0.0,-0.2,-0.3,-0.1,-0.5,0.0,-0.3,-0.4,3.1,0.2,-0.3,-0.8,0.2,0.0,-0.7,-0.1,0.8,0.4,0.1,0.2,0.0,0.9,0.2,-0.4,-0.3,-0.4,-0.3,-0.4,-0.1,0.3,
18,2021-07-01,0.5,6.6,5.9,3.6,0.2,0.4,5.0,0.0,0.2,0.2,0.0,0.6,0.2,0.3,0.4,0.5,-0.6,0.1,0.3,2.6,0.8,-0.2,1.8,0.1,-1.1,-0.2,-0.1,0.5,0.3,0.2,0.1,0.2,0.5,0.6,0.5,0.3,-0.2,0.2,0.0,0.2,0.1,
19,2021-08-01,0.7,6.5,-1.2,-1.5,0.7,0.6,-0.2,0.0,0.3,-0.3,0.0,1.0,0.1,0.1,0.1,0.1,-0.3,-0.2,0.0,1.0,1.9,0.0,1.0,0.1,-0.1,2.2,1.4,0.6,0.2,0.2,0.1,0.3,0.4,0.1,0.0,0.1,0.2,0.1,-0.4,1.7,0.0,
20,2021-09-01,1.2,12.1,-0.9,-8.7,1.0,0.4,-4.5,-0.1,0.2,0.0,0.0,0.4,0.2,0.0,0.4,0.5,0.1,-0.1,0.2,3.3,2.0,-0.3,-1.3,0.1,2.9,1.8,2.9,0.7,0.2,0.1,0.2,0.1,0.5,0.0,-0.1,0.1,1.9,0.3,0.4,2.5,0.0,
21,2021-10-01,2.5,20.1,6.0,-8.9,0.6,1.4,-0.1,0.2,0.4,-0.3,0.0,1.3,0.4,0.1,1.0,0.1,0.5,0.1,-0.2,7.3,6.1,0.4,3.5,1.3,6.9,3.5,3.6,0.9,0.4,0.3,0.1,0.1,0.7,0.1,0.0,0.0,1.0,-0.3,0.5,1.3,0.2,
22,2021-11-01,,-4.9,,-6.3,,,-0.2,,,0.1,,1.2,0.4,,0.6,,1.3,,0.5,,,0.4,0.4,,,-4.8,,,,0.0,0.2,,,,,,,-0.6,1.9,,,
23,2021-12-01,-1.2,-8.3,-6.9,-8.7,0.5,0.9,0.2,-0.1,0.7,0.0,0.3,-0.1,-0.4,0.2,-0.3,0.3,-0.1,0.1,-0.2,-6.3,-2.1,0.1,-3.1,-0.3,-1.4,-4.4,-1.4,-0.2,0.1,0.1,-0.2,-0.3,0.1,-0.3,0.8,0.1,1.0,0.2,3.0,5.3,0.2,
24,2022-01-01,-0.2,-3.5,2.6,1.0,0.7,0.3,0.1,-0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,-0.5,0.3,0.4,0.4,-1.3,-0.2,-0.1,-0.3,-1.8,-1.9,0.8,-0.2,0.0,0.0,0.1,0.3,-0.1,-0.4,0.2,-0.2,1.6,0.1,2.5,1.5,0.7,
25,2022-02-01,0.5,-2.4,10.4,5.0,1.4,-0.2,-0.1,0.2,0.2,0.1,0.0,0.4,-0.1,-0.1,0.0,0.0,-0.1,-0.1,0.5,5.0,1.0,0.3,1.1,0.0,-1.0,0.7,2.0,0.2,-0.3,-0.1,0.1,0.1,0.4,-0.2,0.0,0.0,0.5,-0.5,0.9,-0.2,-0.1,
26,2022-03-01,1.1,2.5,14.1,4.2,1.5,-0.2,-0.3,1.2,0.2,0.5,0.0,0.4,-0.3,-0.2,0.2,-0.1,-0.1,0.2,0.7,7.9,1.8,0.4,2.0,0.2,-0.2,1.4,2.7,0.1,0.0,0.0,0.0,0.3,0.6,-0.1,-0.3,0.4,1.5,-0.1,0.4,3.7,0.0,
27,2022-04-01,0.6,2.5,1.2,4.0,2.7,0.0,0.0,1.1,0.2,0.2,0.0,0.2,0.0,-0.3,-0.1,0.2,0.4,0.0,0.4,3.5,1.4,-0.1,0.4,0.3,-0.5,1.8,0.8,0.4,-0.1,0.0,0.0,0.0,0.6,0.0,0.1,0.1,2.0,0.2,0.4,0.3,0.1,
28,2022-05-01,0.1,-1.1,1.3,0.3,0.4,0.8,0.2,0.9,0.3,0.1,0.0,-0.1,0.4,0.5,0.1,0.5,0.2,0.2,0.6,0.9,0.6,0.0,0.8,0.0,-0.5,-0.5,-1.3,0.1,0.2,0.1,-0.1,0.2,0.3,0.8,0.0,0.5,-0.8,2.0,0.1,0.0,0.1,
29,2022-06-01,0.0,0.8,7.0,-1.9,-0.8,0.6,0.1,1.0,0.3,0.0,0.0,0.3,0.6,0.5,-0.3,0.1,0.0,-0.1,0.2,3.6,0.4,-0.1,2.2,0.1,-1.5,-3.1,-2.1,-0.5,0.1,0.0,-0.1,0.2,0.5,0.2,0.4,0.3,-1.1,0.6,-0.5,-0.3,0.0,
30,2022-07-01,-1.3,-2.1,-1.3,-6.1,-2.6,0.9,0.2,1.1,0.0,-0.1,0.0,-0.7,0.1,0.2,-0.2,-0.1,-0.4,0.1,-0.7,-2.0,-2.1,-0.2,-1.4,-0.6,-1.9,-6.2,-6.0,-0.8,-0.1,0.0,0.0,-0.2,-0.3,-0.1,0.6,-0.1,-8.0,0.5,-1.1,-0.8,0.1,
31,2022-08-01,-1.2,-4.3,-7.3,-6.8,-1.1,0.1,0.2,-0.2,-0.2,0.3,0.0,-0.9,0.3,0.4,-0.2,-0.1,-0.4,-0.3,0.5,-4.8,-3.7,-0.3,-2.1,-1.0,-1.0,-4.1,-2.0,-1.1,0.0,-0.2,-0.2,0.0,-0.2,-0.2,0.2,0.0,-2.9,0.8,0.3,0.0,0.1,
32,2022-09-01,-0.1,0.5,-3.8,-3.0,0.4,0.2,0.1,0.8,-0.3,0.1,0.0,-0.6,0.1,0.5,0.0,0.2,-0.6,-0.1,0.4,-0.1,-1.5,-0.3,-0.4,-0.3,-0.4,-1.7,-0.1,-0.4,0.0,0.1,-0.1,-0.2,0.2,0.1,0.1,0.3,-0.1,0.3,1.3,0.6,0.0,
33,2022-10-01,0.2,3.0,-2.2,-1.4,1.1,0.3,0.2,1.4,0.3,-0.1,0.0,-0.4,0.3,0.7,0.1,0.3,-0.1,0.1,0.7,-0.6,0.4,0.1,-0.7,-0.2,0.6,-0.4,-0.1,-0.1,0.1,0.2,-0.1,0.2,0.1,0.9,0.4,0.5,-0.7,0.9,-0.4,0.3,0.1,
34,2022-11-01,0.1,0.9,2.2,-2.6,0.4,0.4,0.0,0.7,0.2,0.0,0.0,-0.4,0.0,0.5,0.0,0.2,0.0,-0.2,0.8,0.2,-1.0,0.0,-2.2,-0.1,0.4,-1.9,0.7,-0.5,0.1,0.1,0.0,0.4,0.4,0.3,0.4,0.0,-1.6,0.5,0.5,1.6,-0.1,
35,2022-12-01,-0.5,0.8,-8.3,1.1,1.1,0.0,0.1,-1.0,-0.2,-0.1,0.0,-0.5,-0.2,0.0,-0.2,-0.3,-0.3,-0.1,0.4,-3.5,-1.2,0.2,-1.7,-0.3,-0.2,0.4,1.1,0.0,-0.1,-0.1,-0.1,0.2,0.0,-0.2,0.2,0.0,0.5,0.3,0.6,1.5,0.0,
