,Date,工业生产者出厂价格指数 MoM,煤炭开采和洗选业工业生产者出厂价格指数 MoM,石油和天然气开采业工业生产者出厂价格指数 MoM,黑色金属矿采选业工业生产者出厂价格指数 MoM,有色金属矿采选业工业生产者出厂价格指数 MoM,非金属矿采选业工业生产者出厂价格指数 MoM,开采专业及辅助性活动工业生产者出厂价格指数 MoM,农副食品加工业工业生产者出厂价格指数 MoM,食品制造业工业生产者出厂价格指数 MoM,酒、饮料及精制茶制造业工业生产者出厂价格指数 MoM,烟草制品业工业生产者出厂价格指数 MoM,纺织业工业生产者出厂价格指数 MoM,纺织服装、服饰业工业生产者出厂价格指数 MoM,皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数 MoM,木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数 MoM,家具制造业工业生产者出厂价格指数 MoM,造纸和纸制品业工业生产者出厂价格指数 MoM,印刷和记录媒介复制业工业生产者出厂价格指数 MoM,文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数 MoM,石油、煤炭及其他燃料加工业工业生产者出厂价格指数 MoM,化学原料和化学制品制造业工业生产者出厂价格指数 MoM,医药制造业工业生产者出厂价格指数 MoM,化学纤维制造业工业生产者出厂价格指数 MoM,橡胶和塑料制品业工业生产者出厂价格指数 MoM,非金属矿物制品业工业生产者出厂价格指数 MoM,黑色金属冶炼和压延加工业工业生产者出厂价格指数 MoM,有色金属冶炼和压延加工业工业生产者出厂价格指数 MoM,金属制品业工业生产者出厂价格指数 MoM,通用设备制造业工业生产者出厂价格指数 MoM,专用设备制造业工业生产者出厂价格指数 MoM,汽车制造业工业生产者出厂价格指数 MoM,铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数 MoM,电气机械和器材制造业工业生产者出厂价格指数 MoM,计算机、通信和其他电子设备制造业工业生产者出厂价格指数 MoM,仪器仪表制造业工业生产者出厂价格指数 MoM,其他制造业工业生产者出厂价格指数 MoM,废弃资源综合利用业工业生产者出厂价格指数 MoM,金属制品、机械和设备修理业工业生产者出厂价格指数 MoM,电力、热力生产和供应业工业生产者出厂价格指数 MoM,燃气生产和供应业工业生产者出厂价格指数 MoM,水的生产和供应业工业生产者出厂价格指数 MoM,其他采矿业工业生产者出厂价格指数 MoM
36,2023-01-01,-0.4,-0.5,-5.5,3.4,0.7,-0.1,0.0,-1.4,-0.2,0.4,0.5,-0.7,-0.3,-0.3,-0.3,0.1,-0.2,0.0,0.1,-3.2,-1.3,0.6,-0.1,-0.5,-0.5,1.5,0.0,-0.3,-0.2,-0.1,0.0,-0.2,-0.8,-1.2,-0.1,-0.7,0.1,0.0,0.3,1.1,0.1,
37,2023-02-01,0.0,-2.2,1.7,3.9,2.1,0.1,-0.1,-0.3,-0.4,0.3,0.0,-0.3,0.0,-0.3,-0.4,-0.2,-0.5,-0.4,-0.3,0.6,0.0,-0.1,1.4,-0.3,-0.7,1.7,1.0,-0.2,-0.2,-0.1,-0.1,0.0,-0.3,-1.1,0.0,-0.5,1.5,-0.8,0.9,0.7,0.0,
38,2023-03-01,0.0,-1.2,-0.9,2.4,1.5,-0.5,-0.2,-0.5,-0.1,0.2,0.0,0.1,0.0,0.2,0.1,0.2,-1.1,0.2,1.0,-0.4,0.0,0.1,0.3,-0.3,0.0,1.3,-0.3,0.0,-0.1,-0.1,-0.1,0.1,-0.1,0.4,-0.1,0.0,0.2,0.3,-0.3,-0.6,0.1,
39,2023-04-01,-0.5,-4.0,0.5,-0.1,-0.6,0.1,0.3,-1.3,-0.2,-0.2,0.0,-0.1,0.1,-0.1,0.4,-0.2,-1.2,-0.2,0.9,-2.3,-1.1,0.0,1.1,-0.5,-0.1,-1.0,0.2,0.0,0.0,-0.1,-0.2,-0.3,-0.2,-0.7,-0.1,-0.1,-0.6,-0.4,-0.2,-2.7,0.0,
40,2023-05-01,-0.9,-5.2,-2.1,-3.9,-1.0,-0.1,0.0,-0.7,-0.2,0.3,0.0,-0.2,0.0,0.0,-0.1,0.0,-0.9,0.7,0.5,-3.3,-2.0,0.0,-0.6,-0.3,-0.9,-4.2,-1.1,-0.4,-0.1,-0.1,-0.2,0.0,-0.5,-0.3,-0.2,0.0,-3.1,0.6,0.1,-1.8,0.1,
41,2023-06-01,-0.8,-6.4,-1.6,-1.2,0.7,-0.5,0.1,-0.7,-0.1,0.1,0.0,-0.1,0.2,0.4,-0.7,0.2,-1.2,-0.2,0.5,-2.6,-2.6,0.1,-0.3,-0.3,-1.9,-2.2,-0.8,-0.4,0.1,-0.1,-0.3,0.0,-0.1,0.0,-0.4,-0.1,-0.9,-0.2,-0.8,-1.4,0.1,
42,2023-07-01,-0.2,-2.0,4.2,1.2,0.5,-1.7,0.1,0.1,0.0,0.2,0.8,0.0,0.6,0.5,-0.1,0.3,-1.1,-0.4,0.7,0.2,-1.2,0.3,-0.3,-0.3,-2.0,-0.1,0.4,-0.2,0.1,0.0,-0.1,-0.3,-0.3,0.2,-0.4,0.0,0.1,0.1,-0.6,-0.5,0.1,
43,2023-08-01,0.2,-0.8,5.6,0.9,1.0,-0.4,-0.3,1.3,0.2,0.1,0.0,0.1,-0.1,-0.1,-0.2,-0.2,-0.7,0.0,-0.4,5.4,0.6,-0.3,0.3,-0.4,-1.2,0.1,0.4,-0.1,-0.1,0.1,0.0,-0.1,-0.2,-0.4,0.7,-0.1,0.8,0.4,0.2,0.3,0.0,
44,2023-09-01,0.4,1.1,4.1,3.2,1.7,-0.1,0.0,0.6,0.0,0.0,0.0,0.2,0.1,0.1,-0.2,0.1,-0.1,0.0,0.7,3.1,2.0,-0.1,1.1,-0.3,-0.8,0.0,1.2,-0.1,0.0,0.0,0.0,0.0,-0.2,0.3,0.0,0.1,1.0,0.1,0.1,0.1,0.1,
45,2023-10-01,0.0,3.4,2.8,1.6,0.6,0.7,-0.1,-0.4,0.0,-0.3,0.0,0.0,0.0,0.1,0.0,0.0,1.1,-0.2,-0.1,2.5,0.7,0.1,0.1,0.1,-0.1,-0.6,-0.2,-0.1,-0.1,0.0,-0.1,0.1,-0.6,-0.3,0.0,0.4,-0.9,0.3,-0.7,0.3,0.3,
46,2023-11-01,-0.3,0.3,-2.8,1.8,-0.5,0.3,-0.1,-0.8,0.0,0.2,0.0,-0.1,-0.2,0.0,-0.1,0.1,0.3,-0.2,0.1,-2.5,-0.9,-0.1,-1.2,0.0,-0.1,1.1,-0.1,-0.1,0.0,0.0,-0.2,-0.1,-0.6,-0.2,-0.1,0.2,-0.8,0.2,-0.7,1.4,0.2,
47,2023-12-01,,0.0,,,,,,,,,,-0.5,,,0.2,,-0.1,,,,-0.7,-0.5,-0.5,-0.3,,0.8,-0.3,,-0.1,-0.2,,0.2,,-0.6,-0.1,,,-0.5,,,,
48,2024-01-01,-0.2,0.1,-0.8,2.3,0.6,0.1,-0.1,-0.5,0.2,-0.1,-0.2,-0.3,-0.3,0.2,-0.1,-0.1,-0.3,-0.1,0.1,-1.7,-1.1,0.2,0.0,-0.4,-0.6,0.4,0.3,0.0,-0.1,-0.1,-0.3,0.0,-0.7,-0.3,-0.4,0.4,0.8,0.3,0.7,1.4,0.0,
49,2024-02-01,-0.2,-0.7,2.5,0.3,-0.2,-0.1,0.1,-0.3,-0.6,0.0,0.0,0.1,0.0,-0.2,0.2,-0.1,-0.2,-0.1,0.0,0.2,-0.5,-0.3,0.7,-0.1,-0.4,-0.4,0.2,-0.1,-0.2,-0.4,-0.1,-0.2,-0.6,-0.1,0.0,-0.2,0.3,0.4,-1.3,-0.9,-0.4,
50,2024-03-01,-0.1,-1.6,1.1,-2.5,0.4,-0.1,-1.0,-1.1,-0.4,-0.1,0.0,0.2,0.0,0.2,-0.1,-0.1,-0.2,0.0,0.7,0.2,0.3,-0.1,0.3,-0.1,-0.5,-1.2,0.6,-0.1,0.0,0.0,-0.2,0.3,0.1,0.0,-0.1,-0.4,-0.7,-0.2,0.7,-1.0,0.1,
51,2024-04-01,-0.2,-3.0,3.4,-5.8,3.4,-0.2,0.0,-0.4,-0.2,-0.1,0.4,0.0,0.1,0.2,-0.1,0.0,-0.7,-0.5,1.7,1.0,-0.1,-0.1,-0.2,-0.2,-1.0,-2.5,3.2,-0.2,-0.3,0.0,-0.6,0.0,0.0,-0.2,0.3,0.3,-0.1,0.1,-0.6,-1.3,0.0,
52,2024-05-01,0.2,0.5,-2.1,-0.1,4.4,0.2,-0.4,-0.5,-0.2,-0.1,0.0,-0.1,0.2,0.0,-0.2,0.2,-0.7,-0.1,0.6,1.0,0.1,-0.1,-0.2,-0.2,-0.8,0.8,3.9,-0.1,-0.1,0.0,-0.3,0.1,0.7,-0.2,0.1,0.0,2.3,0.0,0.4,-1.4,0.5,
53,2024-06-01,-0.2,1.1,-2.9,0.0,3.8,0.0,0.2,0.5,-0.1,-0.1,0.0,-0.2,-0.1,0.1,0.2,0.1,-0.6,-0.1,0.6,-2.0,0.2,-0.2,0.3,0.0,0.2,-0.6,1.6,0.0,-0.1,-0.2,-0.7,0.1,-0.1,-0.3,-0.1,-0.2,0.3,0.2,-1.0,-0.8,-0.1,
54,2024-07-01,-0.2,0.0,3.0,-0.8,1.6,0.0,-0.1,-0.3,-0.1,-0.2,0.0,-0.1,0.1,0.1,-0.1,0.0,-0.5,0.0,0.3,0.5,-0.3,0.1,0.6,-0.1,-0.6,-1.7,-0.4,-0.1,-0.1,-0.1,0.2,0.2,-0.1,-0.3,0.0,0.3,-1.2,-0.1,-0.5,-0.1,0.0,
55,2024-08-01,-0.7,-1.2,-4.3,-2.0,0.1,0.4,0.0,-0.1,-0.1,0.0,0.0,-0.2,0.0,-0.1,-0.1,0.0,-0.3,0.1,-0.2,-2.0,-0.9,0.0,-0.2,-0.3,-0.7,-4.4,-2.3,-0.6,0.0,0.1,-0.2,0.0,-0.5,-0.2,-0.7,0.0,-4.5,0.4,0.0,0.1,0.1,
56,2024-09-01,-0.6,-1.3,-3.2,-4.2,0.6,0.2,0.0,-0.3,-0.2,-0.4,0.0,-0.3,0.2,0.4,-0.3,-0.2,-0.5,-0.3,0.4,-3.7,-1.0,-0.3,-1.7,-0.2,-0.8,-3.3,-0.4,-0.6,0.0,-0.3,-0.2,-0.2,-0.3,-0.1,0.0,-0.1,-1.0,0.7,0.1,0.6,0.1,
57,2024-10-01,-0.1,0.1,-2.4,0.3,0.9,-0.4,0.0,-0.6,-0.2,0.0,0.0,-0.2,0.0,0.1,-0.1,0.0,-0.2,0.1,1.1,-2.6,-0.9,0.2,-0.4,-0.1,0.4,3.4,2.1,-0.3,-0.1,-0.1,-0.9,-0.2,-0.2,-0.5,-0.4,-0.1,1.4,0.4,-0.3,0.0,0.1,
58,2024-11-01,0.1,-0.4,-0.4,0.3,1.4,-0.3,0.0,-0.4,0.0,0.0,0.0,-0.2,0.0,0.1,-0.6,-0.1,0.0,-0.2,0.3,0.0,-0.3,0.1,-0.8,0.1,1.2,0.2,1.2,0.3,0.0,0.0,-0.1,-0.1,-0.3,0.2,-0.1,-0.1,0.6,0.2,0.3,0.7,0.0,
59,2024-12-01,-0.1,-1.9,0.1,0.6,0.5,0.0,-0.3,-0.4,0.2,-0.1,0.0,-0.3,0.0,0.0,-0.3,-0.1,0.9,0.1,0.7,0.2,-0.4,-0.1,-1.4,-0.1,0.6,-0.6,0.0,-0.2,-0.1,-0.2,-0.5,0.1,-0.1,0.0,0.3,0.1,-0.4,0.7,0.9,1.2,0.1,
60,2025-01-01,-0.2,-2.2,4.5,-0.4,0.4,0.1,0.0,-0.5,0.0,-0.1,0.1,-0.4,-0.4,-0.3,-0.6,-0.1,0.2,-0.5,0.3,1.0,-0.2,-0.4,-0.4,-0.1,-0.6,-0.9,-0.4,-0.2,-0.2,-0.4,0.5,0.0,-0.2,-0.3,-0.2,-0.4,-0.9,0.3,-0.1,0.6,0.4,
61,2025-02-01,-0.1,-3.3,0.3,0.9,1.8,0.0,-0.3,-0.1,-0.5,0.2,0.1,-0.2,-0.3,0.0,0.1,0.1,-0.1,-0.2,1.1,0.9,0.0,-0.2,0.1,-0.2,-0.9,-0.2,0.3,-0.2,-0.3,0.0,-0.1,0.0,-0.1,0.0,-0.2,0.2,0.4,-0.1,-0.5,0.1,-0.2,
62,2025-03-01,-0.4,-4.3,-4.4,0.1,0.4,-0.3,0.6,-0.1,0.2,-0.1,0.0,0.0,-0.3,0.0,-0.4,0.0,-1.1,0.0,0.5,-2.3,0.2,-0.4,-0.6,-0.1,-0.5,-0.5,0.5,-0.3,-0.1,-0.1,-0.4,-0.1,-0.1,-0.7,0.1,-0.2,-0.4,-0.3,-0.4,-0.2,0.2,
63,2025-04-01,-0.4,-3.3,-3.1,-0.9,1.5,0.1,-0.9,-0.4,0.1,0.1,0.2,-0.3,0.4,0.0,-0.3,-0.2,-1.0,-0.3,1.7,-2.6,-0.6,-0.3,-2.0,-0.4,0.0,-1.0,0.3,-0.2,-0.2,0.0,-0.5,0.1,-0.1,-0.2,0.2,0.1,-0.3,1.1,-0.3,-1.2,0.0,
64,2025-05-01,-0.4,-3.0,-5.6,-0.9,0.8,-0.4,0.3,0.0,-0.3,0.1,0.0,-0.2,0.2,0.0,-0.5,0.0,-0.6,-0.3,0.9,-3.1,-1.2,-0.5,-1.3,-0.3,-1.0,-1.0,-0.1,-0.1,-0.2,0.0,0.0,0.0,-0.2,0.1,0.2,0.1,-0.5,-0.3,0.5,-1.0,0.0,
65,2025-06-01,-0.4,-3.4,2.6,-2.0,1.3,-0.7,-1.1,-0.5,-0.2,-0.1,0.0,-0.2,0.0,-0.1,0.0,0.0,-0.4,0.0,0.9,-0.6,-0.7,-0.1,0.1,-0.3,-1.4,-1.8,0.2,-0.3,-0.2,-0.1,0.2,-0.1,-0.2,-0.4,0.3,0.3,-0.6,0.1,-0.9,-0.7,0.3,
66,2025-07-01,-0.2,-1.5,3.0,-1.1,0.7,-0.8,-1.5,0.1,0.0,0.2,0.0,-0.2,-0.1,-0.1,-0.4,0.0,-0.5,-0.2,0.2,1.2,-0.7,-0.5,-0.7,-0.4,-1.4,-0.3,0.8,-0.1,-0.2,-0.1,-0.3,0.0,-0.2,-0.4,-0.1,-0.4,0.1,0.3,-0.9,-0.3,0.6,
67,2025-08-01,0.0,2.8,-1.1,2.1,0.8,-0.5,0.0,0.4,-0.3,-0.5,0.0,0.1,0.0,0.0,0.0,-0.1,-0.3,-0.1,-0.2,0.7,-0.1,-0.5,-0.6,-0.4,-1.0,1.9,0.2,-0.2,-0.1,0.0,-0.3,-0.2,-0.1,-0.2,-0.3,-0.3,0.9,0.5,0.1,-0.2,0.7,
68,2025-09-01,0.0,2.5,-2.0,2.6,2.5,-0.3,-0.2,-0.1,-0.3,-0.1,0.0,-0.2,0.0,-0.1,-0.1,0.1,0.5,0.0,1.3,-0.8,-0.4,-0.4,-0.2,-0.4,-0.4,0.2,1.2,0.0,-0.1,0.0,-0.5,0.0,-0.1,-0.2,0.0,-0.1,0.5,0.1,0.0,-0.4,0.0,
69,2025-10-01,0.1,1.6,-2.3,0.9,5.3,0.1,0.2,-0.2,0.0,-0.1,0.0,0.0,-0.1,0.1,-0.5,0.0,1.0,-0.1,3.3,-0.5,-0.6,-0.2,-0.7,-0.2,0.1,-0.7,2.4,0.0,-0.1,-0.2,-0.2,-0.1,0.0,0.1,-0.1,0.0,1.2,0.1,-0.2,-0.5,0.1,
70,2025-11-01,0.1,4.1,-2.4,0.6,2.6,-0.3,-0.3,-0.1,-0.1,-0.1,0.1,0.0,0.0,0.5,-0.3,0.0,1.4,-0.1,1.5,-1.3,-0.6,-0.4,-0.3,-0.3,0.0,-0.5,2.1,0.0,-0.1,-0.3,-0.1,0.0,0.3,0.1,-0.1,0.2,0.3,-0.1,-0.2,0.7,0.1,
71,2025-12-01,0.2,1.3,-1.3,0.0,3.7,-0.3,-0.2,-0.2,-0.2,-0.1,0.0,-0.1,0.2,0.1,-0.2,0.0,0.4,0.0,2.2,-0.6,0.0,-0.2,-0.4,-0.2,0.1,-0.1,2.8,0.2,0.0,0.0,-0.1,-0.1,0.4,-0.1,0.0,-0.2,0.1,-0.1,1.0,1.2,0.0,
72,2026-01-01,0.4,-3.2,-2.2,0.4,5.7,-0.1,0.6,0.3,-0.1,-1.4,0.1,-0.2,-0.5,0.0,-0.1,0.1,-1.7,-0.2,2.8,-2.5,0.6,-0.9,0.4,-0.5,0.0,0.2,5.2,0.3,0.0,0.1,0.0,0.1,1.2,0.5,-0.4,-0.2,0.1,-0.2,0.1,0.0,0.1,0.5
73,2026-02-01,0.4,-0.5,5.1,-0.8,7.1,-0.6,-0.1,0.2,-0.5,0.0,0.0,0.0,-0.6,-0.1,0.1,-0.1,-0.9,-0.3,3.0,0.4,1.3,-0.6,0.6,-0.3,-0.2,0.1,4.6,0.3,-0.1,-0.1,-0.2,0.0,1.2,0.6,-0.1,-0.4,1.4,0.0,-3.9,0.0,-0.1,0.0
74,2026-03-01,1.0,0.1,15.8,-0.9,5.4,0.4,-0.3,-0.1,0.2,0.0,0.0,0.5,-0.2,-0.3,-0.2,-0.2,0.0,-0.1,-0.1,5.8,3.6,-0.1,3.4,0.6,-0.3,0.3,1.0,0.3,-0.2,0.0,-0.5,0.0,1.1,0.7,0.0,0.0,0.5,0.1,1.4,0.0,0.2,0.0
75,2026-04-01,1.7,1.9,18.5,0.4,3.0,0.1,0.0,-0.4,0.4,-0.7,0.0,0.7,-0.1,0.0,0.0,-0.1,-0.1,-0.1,-1.7,16.4,8.3,-0.4,5.6,1.7,-0.4,0.6,0.2,0.0,0.0,-0.2,0.1,0.0,0.3,0.6,-0.4,0.0,1.2,0.0,-0.7,0.8,0.0,0.0
76,2026-05-01,0.5,3.2,-0.1,0.9,-1.4,0.4,0.9,-0.4,0.2,1.0,0.0,0.7,0.2,-0.2,0.0,0.0,-0.1,-0.1,-0.8,0.0,2.0,-0.4,1.5,1.5,-0.6,1.2,1.1,0.1,0.0,0.1,-0.2,0.0,0.5,0.6,0.0,0.0,0.3,-0.4,0.3,2.2,0.2,0.0
